Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-04-06,6.965829004377326,7.2027619637098885,6.965829004377326,7.060602188110352,157000,0.0,0
1987-04-07,7.060604373613994,7.060604373613994,6.823671340942383,6.823671340942383,295600,0.0,0
1987-04-08,6.918446178436279,7.155379266738892,6.918446178436279,7.107992649078369,479700,0.0,0
1987-04-09,7.10799193882442,7.10799193882442,6.776285648345947,6.776285648345947,850800,0.0,0
1987-04-10,6.776286654636778,6.918446514524263,6.776286654636778,6.871059894561768,224000,0.0,0
1987-04-13,6.871058315250044,6.871058315250044,6.634125269896595,6.681511878967285,304700,0.0,0
1987-04-14,6.634126337923745,6.634126337923745,6.0181003208308255,6.112873554229736,168300,0.0,0
1987-04-15,6.207643076351712,6.634122371673585,6.207643076351712,6.634122371673584,414500,0.0,0
1987-04-16,6.728898127873738,6.871057947476705,6.728898127873738,6.823671340942383,229400,0.0,0
1987-04-20,6.82367367811606,6.82367367811606,6.72890043258667,6.72890043258667,135800,0.0,0
1987-04-21,6.7288984880379745,6.776285097108665,6.634125269896595,6.681511878967285,282200,0.0,0
1987-04-22,6.681514200956926,6.728900826495627,6.444581073263417,6.53935432434082,284900,0.0,0
1987-04-23,6.586740016937256,6.68151325459103,6.53935339811037,6.586740016937256,219200,0.0,0
1987-04-24,6.539349873860677,6.634123060438368,6.397190093994141,6.397190093994141,139700,0.0,0
1987-04-27,6.3024191495144,6.349805759661125,6.065486098780776,6.255032539367676,466500,0.0,0
1987-04-28,6.5375285148620605,6.6806860735816676,6.298932583662715,6.5375285148620605,272200,0.115,0
1987-04-29,6.632967181827712,6.6806863701861845,6.585247993469238,6.585247993469238,374500,0.0,0
1987-04-30,6.585247834523519,6.871562957763672,6.585247834523519,6.871562957763672,845800,0.0,0
1987-05-01,6.919282144970364,7.014720519383748,6.823843770556979,6.871562957763672,713800,0.0,0
1987-05-04,6.8715617721145215,7.110157666979609,6.8715617721145215,7.062438488006592,212200,0.0,0
