Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,-0.0,-0.8686484066785963,-0.8179772496223449,-0.817977249622345,211200,0.0,0.0
1980-03-18,-0.0,-0.8252156132033892,-0.796260679406779,-0.8107381463050842,1280000,0.0,0.0
1980-03-19,-0.0,-0.8179768797542367,-0.8034994128559316,-0.8107381463050842,204800,0.0,0.0
1980-03-20,-0.0,-0.8107382191552056,-0.7817832827568054,-0.7817832827568054,230400,0.0,0.0
1980-03-21,-0.0,-0.7890223520142691,-0.7600674033164978,-0.7600674033164978,204800,0.0,0.0
1980-03-24,-0.0,-0.7673058888086907,-0.7528284192085267,-0.7528284192085266,454400,0.0,0.0
1980-03-25,-0.0,-0.7528284978866576,-0.7238735556602477,-0.7238735556602478,460800,0.0,0.0
1980-03-26,-0.0,-0.760067203669872,-0.7383509978507329,-0.7455897331237793,192000,0.0,0.0
1980-03-27,-0.0,-0.7528284978866576,-0.7238735556602477,-0.7238735556602478,774400,0.0,0.0
1980-03-28,-0.0,-0.7455897623300551,-0.7238735556602477,-0.7238735556602478,876800,0.0,0.0
1980-03-31,-0.0,-0.7673060894012452,-0.7311124059389223,-0.7673060894012451,140800,0.0,0.0
1980-04-01,-0.0,-0.7962609841444782,-0.7673060392664972,-0.7745447754859924,172800,0.0,0.0
1980-04-02,-0.0,-0.8107382542378193,-0.7890220509993063,-0.8034995198249817,768000,0.0,0.0
1980-04-03,-0.0,-0.8034996888854288,-0.796260952949524,-0.7962609529495239,192000,0.0,0.0
1980-04-07,-0.0,-0.8107384248213335,-0.796260952949524,-0.7962609529495239,172800,0.0,0.0
1980-04-08,-0.0,-0.7817832827568054,-0.7673058145576053,-0.7817832827568054,89600,0.0,0.0
1980-04-09,-0.0,-0.8252159863446665,-0.7890223027330584,-0.817977249622345,563200,0.0,0.0
1980-04-10,-0.0,-0.9337970018386841,-0.8324546915616176,-0.9337970018386841,550400,0.0,0.0
1980-04-11,-0.0,-0.9482743839422861,-0.912080705165863,-0.912080705165863,147200,0.0,0.0
1980-04-14,-0.0,-0.9265581766764323,-0.9048419694105784,-0.912080705165863,140800,0.0,0.0
1980-04-15,-0.0,-0.9048416233453594,-0.8831254243850708,-0.8831254243850708,172800,0.0,0.0
1980-04-16,-0.0,-0.8976026773452759,-0.8976026773452759,-0.8976026773452759,281600,0.0,0.0
1980-04-17,-0.0,-0.8976028903585965,-0.8831254243850708,-0.8831254243850708,985600,0.0,0.0
1980-04-18,-0.0,-0.9048416233453594,-0.8831254243850708,-0.8831254243850708,115200,0.0,0.0
1980-04-21,-0.0,-0.8976028903585965,-0.8831254243850708,-0.8831254243850708,128000,0.0,0.0
1980-04-22,-0.0,-0.9337967522442342,-0.8976030796766282,-0.9265580177307129,326400,0.0,0.0
1980-04-23,-0.0,-0.9265581766764323,-0.912080705165863,-0.912080705165863,665600,0.0,0.0
1980-04-24,-0.0,-0.9337967522442342,-0.9120805487036706,-0.9265580177307129,89600,0.0,0.0
1980-04-25,-0.0,-0.926558017730713,-0.9193192832171918,-0.9265580177307129,70400,0.0,0.0
1980-04-28,-0.0,-0.9772293567657471,-0.9410356768855342,-0.9772293567657471,294400,0.0,0.0
1980-04-29,-0.0,-0.9844681569772172,-0.9337970018386841,-0.9337970018386841,601600,0.0,0.0
1980-04-30,-0.0,-0.9265581766764323,-0.912080705165863,-0.912080705165863,115200,0.0,0.0
1980-05-01,-0.0,-0.9193191639776152,-0.8903642296791076,-0.8903642296791077,140800,0.0,0.0
1980-05-02,-0.0,-0.9410357475280761,-0.9193195379697359,-0.9410357475280762,467200,0.0,0.0
1980-05-05,-0.0,-0.9482742547988892,-0.941035520029432,-0.9482742547988892,422400,0.0,0.0
1980-05-06,-0.0,-0.9482742212712766,-0.926558017730713,-0.9265580177307129,51200,0.0,0.0
1980-05-07,-0.0,-0.9337970018386841,-0.9193195289419602,-0.9337970018386841,128000,0.0,0.0
