,Position,Games,P/G,Total Points
Sterling Shepard,WR,10.0,13.98,139.8
Mark Andrews,WR,15.0,13.946666666666665,209.2
Darren Waller,TE,16.0,13.9375,223.0
Courtland Sutton,WR,16.0,13.80625,220.9
Terry McLaurin,,14.0,13.707142857142856,191.9
Evan Engram,TE,8.0,13.675,109.4
Miles Sanders,RB,16.0,13.66875,218.7
Mitchell Trubisky,QB,15.0,13.654666666666666,204.82
A.J. Brown,WR,16.0,13.56875,217.1
James White,,15.0,13.253333333333336,198.8
Damien Williams,RB,11.0,13.009090909090911,143.10000000000005
Marlon Mack,RB,14.0,12.807142857142859,179.3
Christian Kirk,WR,13.0,12.784615384615385,166.2
Kareem Hunt,,8.0,12.675,101.4
Odell Beckham Jr.,WR,16.0,12.65625,202.5
Deebo Samuel,WR,15.0,12.606666666666666,189.1
Hunter Henry,,12.0,12.516666666666666,150.2
T.Y. Hilton,TE,10.0,12.51,125.1
Devin Singletary,RB,12.0,12.491666666666667,149.9
Phillip Lindsay,RB,16.0,12.35625,197.7
Jamison Crowder,WR,16.0,12.35625,197.7
Alshon Jeffery,WR,10.0,12.22,122.2
Will Fuller,,11.0,12.181818181818182,134.0
Darius Slayton,,14.0,12.142857142857142,170.0
John Ross,WR,8.0,12.125,97.0
Cole Beasley,WR,15.0,12.053333333333335,180.8
Jared Cook,WR,14.0,11.964285714285715,167.5
D.K. Metcalf,WR,16.0,11.94375,191.1
Preston Williams,WR,8.0,11.6,92.8
Adam Thielen,WR,10.0,11.44,114.4
Larry Fitzgerald,,16.0,11.2125,179.4
Jordan Howard,,10.0,11.14,111.4
Joe Flacco,QB,8.0,11.11,88.88
David Johnson,RB,13.0,11.038461538461537,143.5
Case Keenum,QB,10.0,10.948,109.48
David Montgomery,RB,16.0,10.9,174.4
Mason Rudolph,QB,10.0,10.88,108.8
Kerryon Johnson,RB,8.0,10.875,87.0
Emmanuel Sanders,WR,17.0,10.758823529411767,182.9
Mike Williams,WR,15.0,10.753333333333336,161.3
Curtis Samuel,WR,16.0,10.73125,171.7
Tyler Higbee,,15.0,10.693333333333333,160.4
Ronald Jones II,RB,16.0,10.64375,170.3
Raheem Mostert,,16.0,10.575,169.2
Randall Cobb,WR,15.0,10.46,156.9
Marquise Brown,WR,14.0,10.457142857142856,146.4
Jamaal Williams,,14.0,10.45,146.3
Hunter Renfrow,,13.0,10.26923076923077,133.5
Tarik Cohen,RB,16.0,10.24375,163.9
Tyrell Williams,,14.0,10.221428571428572,143.10000000000005
Dede Westbrook,WR,15.0,10.18,152.7
Diontae Johnson,WR,16.0,10.06875,161.1
Adrian Peterson,RB,15.0,10.066666666666666,151.0
Teddy Bridgewater,QB,9.0,10.051111111111108,90.46
Taylor Gabriel,WR,9.0,10.033333333333337,90.3
Robby Anderson,WR,16.0,10.01875,160.3
Dallas Goedert,,15.0,9.913333333333332,148.7
Sammy Watkins,WR,14.0,9.892857142857142,138.5
Breshad Perriman,,14.0,9.864285714285714,138.1
Latavius Murray,RB,16.0,9.825,157.2
Carlos Hyde,RB,16.0,9.825,157.2
Duke Johnson,,16.0,9.75,156.0
Tevin Coleman,RB,14.0,9.671428571428573,135.4
Sony Michel,RB,16.0,9.6625,154.6
Chris Conley,,16.0,9.65625,154.5
JuJu Smith-Schuster,,12.0,9.6,115.2
LeSean McCoy,RB,13.0,9.430769230769233,122.6
Kenny Stills,FB,13.0,9.238461538461538,120.1
Danny Amendola,,15.0,9.053333333333336,135.8
James Washington,WR,15.0,9.033333333333333,135.5
Boston Scott,,11.0,8.990909090909092,98.9
Royce Freeman,,16.0,8.8875,142.2
Greg Olsen,,14.0,8.835714285714285,123.7
Dwayne Haskins,QB,9.0,8.744444444444444,78.69999999999997
Jason Witten,WR,16.0,8.74375,139.9
Mike Gesicki,,16.0,8.625,138.0
Auden Tate,WR,12.0,8.625,103.5
Nelson Agholor,WR,11.0,8.545454545454545,94.0
Jacob Hollister,,11.0,8.536363636363637,93.9
Chris Thompson,,11.0,8.50909090909091,93.6
Kaden Smith,WR,9.0,8.422222222222222,75.8
Brandin Cooks,WR,14.0,8.392857142857142,117.5
Zach Pascal,WR,16.0,8.33125,133.3
Mohamed Sanu,,15.0,8.273333333333332,124.1
Matt Breida,RB,13.0,8.100000000000001,105.3
Anthony Miller,WR,16.0,8.09375,129.5
Rex Burkhead,,13.0,7.930769230769231,103.1
Eric Ebron,,11.0,7.863636363636362,86.5
Demaryius Thomas,RB,11.0,7.754545454545456,85.30000000000003
Rashaad Penny,,10.0,7.729999999999999,77.3
Corey Davis,,15.0,7.673333333333333,115.1
Jaylen Samuels,,14.0,7.642857142857142,107.0
DeAndre Washington,,16.0,7.61875,121.9
Ryan Griffin,WR,13.0,7.384615384615384,96.0
Mecole Hardman,WR,16.0,7.34375,117.5
Peyton Barber,RB,16.0,7.28125,116.5
Adam Humphries,,12.0,7.208333333333332,86.5
Phillip Dorsett,,14.0,7.200000000000001,100.8
Marcus Johnson,,8.0,7.0875,56.7
Noah Fant,TE,16.0,7.0625,113.0
Jack Doyle,FB,16.0,6.987500000000002,111.8
Kyle Rudolph,,16.0,6.98125,111.7
Gerald Everett,,13.0,6.907692307692308,89.80000000000003
Josh Gordon,,11.0,6.881818181818183,75.7
Darren Fells,,16.0,6.88125,110.1
Albert Wilson,,13.0,6.815384615384616,88.6
Nyheim Hines,,16.0,6.74375,107.9
T.J. Hockenson,,12.0,6.7250000000000005,80.7
Damiere Byrd,RB,11.0,6.718181818181819,73.9
Devlin Hodges,QB,8.0,6.665000000000001,53.32000000000001
Jonnu Smith,TE,16.0,6.54375,104.7
Tyler Eifert,,16.0,6.5375,104.6
Tre'Quan Smith,WR,11.0,6.490909090909091,71.4
