,Position,Games,Rushing Yards,Rushing TD,Receptions,Receiving Yards,Receiving TD,P/G,Total Points
C.J. Ham,FB,16,1.7000000000000002,0,17,14.9,6,2.475,39.6
Logan Thomas,WR,16,0,0,16,17.3,6,2.45625,39.3
Justin Hardy,,16.0,0.0,0.0,19.0,19.5,0.0,2.40625,38.5
Robert Tonyan,,11.0,0.0,0.0,10.0,10.0,6.0,2.3636363636363638,26.0
Andy Isabella,,15.0,1.5,0.0,9.0,18.900000000000002,6.0,2.3600000000000003,35.400000000000006
Brandon Zylstra,,8.0,0.0,0.0,8.0,10.600000000000001,0.0,2.325,18.6
Trevor Davis,,14.0,7.300000000000001,6.0,8.0,11.100000000000001,0.0,2.3142857142857145,32.400000000000006
Marcedes Lewis,RB,16,0,0,15,15.600000000000001,6,2.2875,36.6
Ross Dwelley,,16.0,0.0,0.0,15.0,9.1,12.0,2.25625,36.1
Jeff Heuerman,WR,14,0,0,14,11.4,6,2.242857142857143,31.4
Christian Blake,,9.0,0.0,0.0,11.0,9.1,0.0,2.2333333333333334,20.1
Ian Thomas,RB,16,0,0,16,13.600000000000001,6,2.225,35.6
Hale Hentges,,11.0,0.0,0.0,8.0,10.3,6.0,2.209090909090909,24.3
Byron Pringle,WR,16,0,0,12,17.0,6,2.1875,35.0
Seth Devalve,RB,12,0,0,12,14.0,0,2.1666666666666665,26.0
Nick Vannett,,16.0,0.0,0.0,17.0,16.6,0.0,2.1,33.6
JJ Arcega-Whiteside,,16.0,0.0,0.0,10.0,16.900000000000002,6.0,2.0562500000000004,32.900000000000006
Olamide Zaccheaus,WR,10,0,0,3,11.5,6,2.05,20.5
Adam Shaheen,WR,8,0,0,9,7.4,0,2.05,16.4
Derek Carrier,,16.0,2.7,0.0,13.0,10.8,6.0,2.03125,32.5
Ty Montgomery,,16.0,10.3,0.0,13.0,9.0,0.0,2.01875,32.3
Luke Willson,RB,8,0,0,8,7.9,0,1.9875,15.9
Jesse James,WR,16,0,0,16,14.200000000000001,0,1.8875000000000002,30.200000000000003
Jaeden Graham,RB,16,0,0,9,14.9,6,1.86875,29.9
Cordarrelle Patterson,,16.0,10.3,0.0,11.0,8.3,0.0,1.85,29.6
Reggie Bonnafon,,16.0,11.600000000000001,6.0,6.0,5.7,0.0,1.83125,29.3
Trey Edmunds,,11.0,9.200000000000001,0.0,6.0,4.800000000000001,0.0,1.8181818181818181,20.0
Stephen Carlson,RB,9,0,0,5,5.1000000000000005,6,1.788888888888889,16.1
Richie James,,16.0,-0.1,0.0,6.0,16.5,6.0,1.775,28.4
Travis Homer,,16.0,11.4,0.0,11.0,5.6000000000000005,0.0,1.75,28.0
Tyler Kroft,WR,11,0,0,6,7.1000000000000005,6,1.7363636363636366,19.1
Darrell Henderson,,13.0,14.700000000000001,0.0,4.0,3.7,0.0,1.7230769230769232,22.400000000000002
Damion Willis,,10.0,0.0,0.0,9.0,8.200000000000001,0.0,1.7200000000000002,17.200000000000003
DeAndre Carter,,16.0,0.0,0.0,11.0,16.2,0.0,1.7,27.2
Deon Cain,WR,13,0,0,9,12.4,0,1.646153846153846,21.4
Ben Braunecker,,11.0,0.0,0.0,6.0,5.9,6.0,1.6272727272727272,17.9
Wendell Smallwood,,15.0,8.1,0.0,9.0,6.4,0.0,1.5666666666666667,23.5
Rashard Higgins,WR,10,0,0,4,5.5,6,1.55,15.5
Virgil Green,WR,15,0,0,9,7.800000000000001,6,1.52,22.8
Andrew Beck,TE,16,0.30000000000000004,0,9,9.0,6,1.51875,24.3
Marcell Ateman,,11.0,0.0,0.0,5.0,11.600000000000001,0.0,1.5090909090909093,16.6
Troy Fumagalli,WR,11,0,0,6,3.8000000000000003,6,1.4363636363636365,15.8
