,Home,Home Win Percent,Away,Away Win Percent,Home Odds,Away Odds,Adj Home Odds,Adj Away Odds
0,Columbus Blue Jackets,82.253,Detroit Red Wings,17.747,1.2157611272537172,5.634755169887868,1.1549730708910313,5.9164929283822625
1,Dallas Stars,48.387,Minnesota Wild,51.613,2.0666708000082665,1.9374963671943115,1.9633372600078531,2.034371185554027
2,New York Rangers,56.954,Buffalo Sabres,43.046,1.755802928679285,2.323096222645542,1.6680127822453206,2.4392510337778193
3,Toronto Maple Leafs,64.526,Anaheim Ducks,35.474,1.5497628862783996,2.8189660032700004,1.4722747419644795,2.9599143034335005
