,Average Goals For,STD Goals For
Toronto Maple Leafs,3.933333333333333,1.730767331432956
Colorado Avalanche,3.7333333333333334,1.6918103387266026
Washington Capitals,3.566666666666667,1.5205992970609392
Tampa Bay Lightning,3.533333333333333,1.9618585292749549
Florida Panthers,3.466666666666667,2.0612833111653743
Pittsburgh Penguins,3.4,1.8903262505010434
St. Louis Blues,3.4,1.451436070471816
Philadelphia Flyers,3.3333333333333335,1.7191729277636838
Minnesota Wild,3.3333333333333335,1.9550504398153572
Vancouver Canucks,3.3,1.8645821694595996
New York Rangers,3.2333333333333334,1.7065234314893603
Vegas Golden Knights,3.1666666666666665,1.3924399049470282
Edmonton Oilers,3.1333333333333333,1.9447936194419764
Nashville Predators,3.1,1.7767010628315238
Chicago Blackhawks,3.066666666666667,1.5477582354991866
Winnipeg Jets,3.033333333333333,1.8526257642120336
Boston Bruins,3.0,1.570562531918633
Carolina Hurricanes,2.933333333333333,1.8427033281447005
Montreal Canadiens,2.9,1.3503086067019396
Calgary Flames,2.8333333333333335,1.5933891203622825
Arizona Coyotes,2.8,1.7009801096230766
Buffalo Sabres,2.8,1.6613247725836149
New Jersey Devils,2.8,1.7009801096230766
Columbus Blue Jackets,2.7666666666666666,1.498517786199268
New York Islanders,2.7333333333333334,1.6519348924485153
Ottawa Senators,2.6333333333333333,1.4019827229875395
Dallas Stars,2.533333333333333,1.3097921802925665
Anaheim Ducks,2.466666666666667,1.4079141387961918
San Jose Sharks,2.3333333333333335,1.422048600513436
Los Angeles Kings,2.3333333333333335,1.2736648783028535
Detroit Red Wings,1.7666666666666666,1.2297244497131143
