,Average Goals For,STD Goals For
Washington Capitals,3.74,1.4671059948074647
Colorado Avalanche,3.66,1.8932511719262186
Florida Panthers,3.64,1.8413038858374247
Tampa Bay Lightning,3.62,2.0188115315699977
Toronto Maple Leafs,3.56,1.5512575543732252
Boston Bruins,3.42,1.6743954132760877
Pittsburgh Penguins,3.36,1.9571407716360112
Vancouver Canucks,3.28,1.929144888285999
Nashville Predators,3.26,1.7298554852934973
New York Rangers,3.22,1.616044553841261
St. Louis Blues,3.2,1.4422205101855958
Philadelphia Flyers,3.2,1.697056274847714
Carolina Hurricanes,3.16,1.8800000000000001
Minnesota Wild,3.12,1.7848249213858485
Edmonton Oilers,3.12,1.9041008376659048
Montreal Canadiens,3.02,1.4211263138792412
Vegas Golden Knights,3.02,1.3926952286842946
Chicago Blackhawks,2.98,1.6672132437093943
New York Islanders,2.98,1.5295751043999115
Winnipeg Jets,2.9,1.6643316977093239
Arizona Coyotes,2.88,1.4918444959177213
Buffalo Sabres,2.76,1.5564061166674976
Dallas Stars,2.72,1.5104966070799366
Columbus Blue Jackets,2.72,1.4288456879593403
Ottawa Senators,2.72,1.45657131648265
Calgary Flames,2.7,1.6881943016134133
New Jersey Devils,2.7,1.7349351572897471
San Jose Sharks,2.68,1.5289211882893115
Anaheim Ducks,2.58,1.4844527611210807
Los Angeles Kings,2.3,1.3304134695650072
Detroit Red Wings,1.94,1.2713772060250255
