,Average Goals For,STD Goals For
Toronto Maple Leafs,4.2,1.6911534525287764
Florida Panthers,3.95,2.2242976419535223
Tampa Bay Lightning,3.75,2.094636006565341
Colorado Avalanche,3.7,1.8466185312619388
Washington Capitals,3.6,1.624807680927192
St. Louis Blues,3.6,1.42828568570857
Pittsburgh Penguins,3.55,1.8020821290940103
Edmonton Oilers,3.5,2.179449471770337
Philadelphia Flyers,3.45,1.6575584454250776
New York Rangers,3.4,1.7146428199482247
Chicago Blackhawks,3.35,1.5580436450882884
Vegas Golden Knights,3.35,1.3518505834595773
Vancouver Canucks,3.35,1.7965244223221681
Boston Bruins,3.25,1.7853571071357126
Nashville Predators,3.2,1.8330302779823358
New Jersey Devils,3.2,1.5033296378372911
Minnesota Wild,3.1,2.046948949045872
Carolina Hurricanes,3.1,1.6401219466856727
Montreal Canadiens,3.0,1.449137674618944
New York Islanders,2.9,1.7291616465790582
Arizona Coyotes,2.9,1.7578395831246947
Columbus Blue Jackets,2.85,1.2757350822173072
Dallas Stars,2.8,1.32664991614216
Winnipeg Jets,2.75,1.840516231930596
Ottawa Senators,2.7,1.268857754044952
Calgary Flames,2.6,1.624807680927192
Anaheim Ducks,2.5,1.5
San Jose Sharks,2.35,1.49248115565993
Los Angeles Kings,2.35,1.3518505834595775
Buffalo Sabres,2.3,1.307669683062202
Detroit Red Wings,1.85,1.1079259903080168
