,Average Goals For,STD Goals For
Washington Capitals,4.333333333333333,0.9428090415820632
Edmonton Oilers,4.142857142857143,2.4743582965269675
Florida Panthers,3.75,2.48746859276655
Tampa Bay Lightning,3.7142857142857144,1.577908716741037
Colorado Avalanche,3.5555555555555554,1.8324913891634047
Philadelphia Flyers,3.4285714285714284,1.3997084244475304
Boston Bruins,3.4,1.4966629547095764
Montreal Canadiens,3.4,1.019803902718557
Chicago Blackhawks,3.3333333333333335,1.699673171197595
Toronto Maple Leafs,3.3333333333333335,1.247219128924647
New York Islanders,3.3333333333333335,1.9436506316150999
Pittsburgh Penguins,3.25,2.0463381929681126
Minnesota Wild,3.25,1.7853571071357126
Vancouver Canucks,3.1666666666666665,1.5723301886761005
St. Louis Blues,3.1666666666666665,1.7716909687891083
New York Rangers,3.125,1.6909686573085854
Ottawa Senators,3.0,1.4142135623730951
Anaheim Ducks,3.0,0.7559289460184544
New Jersey Devils,3.0,1.5
Vegas Golden Knights,3.0,0.8944271909999159
Columbus Blue Jackets,2.8333333333333335,1.5723301886761005
Carolina Hurricanes,2.7142857142857144,1.0301575072754257
Calgary Flames,2.6666666666666665,1.1055415967851334
Nashville Predators,2.625,1.79843682124227
Dallas Stars,2.5714285714285716,1.4982983545287878
Arizona Coyotes,2.4,0.4898979485566356
Winnipeg Jets,2.1666666666666665,1.4624940645653537
Buffalo Sabres,2.142857142857143,1.2453996981544782
Los Angeles Kings,2.0,0.816496580927726
San Jose Sharks,1.6666666666666667,1.4907119849998596
Detroit Red Wings,1.3333333333333333,1.1055415967851334
