Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ECL,"Ecolab Inc",225.61,5.86,+2.67%,225.86,221.2,781185,12/04/20
ED,"Consolidated Edison Company of New York",75.31,-0.59999999999999,-0.79%,76.54,75.01,3239617,12/04/20
EFX,"Equifax Inc",166.5,1.25,+0.76%,167.32,165.69,956399,12/04/20
EIX,"Edison International",61.83,0.29,+0.47%,62.15,61.15,1173031,12/04/20
EL,"Estee Lauder Companies",244.12,-1.34,-0.55%,246.61,241.56,1139992,12/04/20
EMN,"Eastman Chemical Company",102.39,4.24,+4.32%,102.44,98.93,1167663,12/04/20
EMR,"Emerson Electric Company",80.1,4.62,+6.12%,80.44,75.58,5503052,12/04/20
EOG,"Eog Resources",53,4.83,+10.03%,53.01,49.26,7008430,12/04/20
EQIX,"Equinix Inc",708.33,15.68,+2.26%,712.96,690.49,632800,12/04/20
EQR,"Equity Residential",63.37,1.42,+2.29%,63.56,62.31,3159647,12/04/20
ES,"Eversource Energy",85.54,-1.27,-1.46%,87.13,84.7,1743409,12/04/20
ESS,"Essex Property Trust",252.73,3.88,+1.56%,253.94,250.88,614613,12/04/20
ETN,"Eaton Corp",118.82,2.09,+1.79%,119.65,116.94,1490767,12/04/20
ETR,"Entergy Corp",106.73,0.090000000000003,+0.08%,107.39,105.64,924088,12/04/20
ETSY,"Etsy Inc",155.03,0.29,+0.19%,157.09,153.22,1967500,12/04/20
EVRG,"Evergy Inc",54.92,-0.58,-1.05%,55.62,54.71,834388,12/04/20
EW,"Edwards Lifesciences Corp",85.76,2.11,+2.52%,85.96,83.71,2413224,12/04/20
EXC,"Exelon Corp",40.93,-0.12,-0.29%,41.34,40.53,3546300,12/04/20
EXPD,"Expeditors Intl",90.06,1.36,+1.53%,90.63,88.76,944500,12/04/20
EXPE,"Expedia Group Inc",128.58,1.23,+0.97%,128.78,125.25,2024300,12/04/20
EXR,"Extra Space Storage Inc",114.35,0.84999999999999,+0.75%,114.9,112.51,612222,12/04/20
F,"Ford Motor Company",9.34,0.13,+1.41%,9.44,9.24,48775547,12/04/20
FANG,"Diamondback Energy",47.22,5.31,+12.67%,47.39,43.1,6387400,12/04/20
FAST,"Fastenal Company",48.05,0.68,+1.44%,48.46,47.53,3388500,12/04/20
FB,"Facebook Inc",279.7,-2.15,-0.76%,283.46,279.3,10880199,12/04/20
FBHS,"Fortune Brands Home & Security",80.98,-0.8,-0.98%,82.24,80.21,812835,12/04/20
FCX,"Freeport-Mcmoran Inc",25.06,0.67,+2.75%,25.43,24.7,31953974,12/04/20
FDX,"Fedex Corp",294.88,2.18,+0.74%,298.98,293.12,1847692,12/04/20
FE,"Firstenergy Corp",28.95,1.05,+3.76%,29.08,27.85,7880263,12/04/20
FFIV,"F5 Networks Inc",166.07,3.52,+2.17%,166.32,162.07,412500,12/04/20
FIS,"Fidelity National Information Services",149.86,2.58,+1.75%,149.95,147.4,2090645,12/04/20
FISV,"Fiserv Inc",117.13,1.08,+0.93%,117.7,115.29,3444800,12/04/20
FITB,"Fifth Third Bncp",27.4,0.57,+2.12%,27.46,26.92,6907500,12/04/20
FLIR,"Flir Systems Inc",41.21,0.69,+1.70%,41.38,40.4,1199500,12/04/20
FLS,"Flowserve Corp",35.58,1.8,+5.33%,35.85,34.07,760433,12/04/20
FLT,"Fleetcor Technologies",268.05,5.82,+2.22%,269.97,263.72,1007932,12/04/20
FMC,"FMC Corp",121.69,3.31,+2.80%,122.29,118.54,608040,12/04/20
FOX,"Fox Corp Cl B",29.25,-0.52,-1.73%,30.02,29.19,1831100,12/04/20
FOXA,"Fox Corp Cl A",29.84,-0.48,-1.58%,30.52,29.74,5831300,12/04/20
FRC,"First Republic Bank",129.49,-0.31999999999999,-0.25%,131.71,129.4,704020,12/04/20
FRT,"Federal Realty Investment Trust",93.1,1.29,+1.41%,93.58,92.03,482068,12/04/20
FTI,"Technipfmc Plc",10.27,0.9,+9.61%,10.27,9.76,6248231,12/04/20
FTNT,"Fortinet Inc",127.8,1.71,+1.36%,128.56,125.94,616500,12/04/20
FTV,"Fortive Corp",71.28,2.45,+3.56%,71.7,69.78,3793871,12/04/20
GD,"General Dynamics Corp",156.04,2.16,+1.40%,156.14,153.92,1065033,12/04/20
GE,"General Electric Company",10.88,0.28,+2.64%,10.93,10.51,135020902,12/04/20
GILD,"Gilead Sciences Inc",61.56,0.7,+1.15%,61.67,60.7,7232300,12/04/20
GIS,"General Mills",60.44,0,0.00%,60.81,60.01,3298369,12/04/20
GL,"Globe Life Inc",96.46,1.51,+1.59%,97.17,95.66,370396,12/04/20
GLW,"Corning Inc",37.95,0.83000000000001,+2.24%,37.95,37.12,3507094,12/04/20
GM,"General Motors Company",44.4,0.31,+0.70%,44.74,44.13,11895202,12/04/20
GOOG,"Alphabet Cl C",1827.99,1.22,+0.07%,1833.16,1816.99,1378100,12/04/20
GOOGL,"Alphabet Cl A",1823.76,1.92,+0.11%,1829.5,1813.59,1027200,12/04/20
GPC,"Genuine Parts Company",98.25,0.98999999999999,+1.02%,98.3,97.14,609212,12/04/20
GPN,"Global Payments Inc",200.07,4.32,+2.21%,200.09,195.99,1124040,12/04/20
GPS,"Gap Inc",21.47,0.27,+1.27%,21.49,20.91,10047870,12/04/20
GRMN,"Garmin Ltd",121.34,2.1,+1.76%,121.74,118.75,803700,12/04/20
GS,"Goldman Sachs Group",239.58,4.11,+1.75%,239.75,236.95,2373011,12/04/20
GWW,"W.W. Grainger",404.77,2.09,+0.52%,407.44,402.12,226402,12/04/20
HAL,"Halliburton Company",19.43,1.41,+7.82%,19.53,18.42,14895753,12/04/20
HAS,"Hasbro Inc",91.07,-1.59,-1.72%,93.71,90.92,1477700,12/04/20
HBAN,"Huntington Bcshs",13.11,0.13,+1.00%,13.2,13.02,8011200,12/04/20
HBI,"Hanesbrands Inc",14.09,-0.3,-2.08%,14.5,13.97,5613033,12/04/20
HCA,"Hca Holdings Inc",157.68,4.93,+3.23%,158.21,152.58,1447115,12/04/20
HD,"Home Depot",263.99,-4.15,-1.55%,268.73,262.82,7732829,12/04/20
HES,"Hess Corp",54.39,3.39,+6.65%,54.39,52.04,2252323,12/04/20
HFC,"Hollyfrontier Corp",28.55,1.66,+6.17%,28.77,27.56,2957043,12/04/20
HIG,"Hartford Financial Services Group",46.49,0.65,+1.42%,46.85,46.15,2747481,12/04/20
HII,"Huntington Ingalls Industries",167.69,3.96,+2.42%,169.62,163.56,284570,12/04/20
HLT,"Hilton Inc",110.85,1.69,+1.55%,111.24,108.62,1261749,12/04/20
HOLX,"Hologic Inc",73.15,0.67,+0.92%,73.21,71.42,1451300,12/04/20
HON,"Honeywell International Inc",212.68,4.46,+2.14%,212.89,209.39,3198838,12/04/20
HPE,"Hewlett Packard Enterprise Comp",12.34,0.73,+6.29%,12.34,11.69,12847743,12/04/20
