Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
60,Ezekiel Elliott*\ElliEz00,DAL,24,RB,16,16,71,54,420,2,21,25,0.5,395,7.3,0.6,6,9.0,4,5.6,0,99.5
61,Curtis Samuel\SamuCu00,CAR,23,WR,16,15,105,54,627,6,36,474,8.8,153,2.8,14.6,3,18.0,7,6.7,1,84.9
62,Dalvin Cook*\CookDa01,MIN,24,RB,14,14,63,53,519,0,26,-72,-1.4,591,11.2,-1.5,9,5.9,7,11.1,0,101.0
63,Robby Anderson\AndeRo04,NYJ,26,WR,16,15,96,52,779,5,35,586,11.3,193,3.7,14.6,1,52.0,4,4.2,3,85.4
64,Saquon Barkley\BarkSa00,NYG,22,RB,13,13,73,52,438,2,14,0,0.0,438,8.4,0.8,8,6.5,4,5.5,0,95.6
65,A.J. Brown\BrowAJ00,TEN,22,WR,16,11,84,52,1051,8,39,586,11.3,465,8.9,13.2,8,6.5,2,2.4,2,127.6
66,Anthony Miller\MillAn02,CHI,25,WR,16,7,85,52,656,2,34,439,8.4,217,4.2,10.1,4,13.0,3,3.5,3,78.4
67,Greg Olsen\OlseGr00,CAR,34,TE,14,14,82,52,597,2,34,396,7.6,201,3.9,9.0,2,26.0,3,3.7,2,83.2
68,Sammy Watkins\WatkSa00,KAN,26,WR,14,13,90,52,673,3,30,376,7.2,297,5.7,9.5,0,,4,4.4,0,92.5
69,Mike Gesicki\GesiMi00,MIA,24,te,16,5,89,51,570,5,25,408,8.0,162,3.2,10.1,0,,0,0.0,2,85.9
70,Kenyan Drake\DrakKe00,2TM,25,,14,10,68,50,345,0,15,-79,-1.6,424,8.5,-0.6,2,25.0,3,4.4,,84.5
71,Miles Sanders\SandMi01,PHI,22,RB,16,11,63,50,509,3,19,89,1.8,420,8.4,2.0,4,12.5,3,4.8,0,116.2
72,Will Fuller\FullWi01,HOU,25,WR,11,11,71,49,670,3,26,451,9.2,219,4.5,14.2,2,24.5,5,7.0,3,95.4
73,Russell Gage\GageRu00,ATL,23,,16,4,74,49,446,1,25,295,6.0,151,3.1,7.1,0,,0,0.0,1,81.3
74,Aaron Jones\JoneAa00,GNB,25,RB,16,16,68,49,474,3,18,41,0.8,433,8.8,2.8,10,4.9,2,2.9,0,105.9
75,Hunter Renfrow\RenfHu00,OAK,24,,13,4,71,49,605,4,30,304,6.2,301,6.1,7.0,5,9.8,4,5.6,1,108.0
76,Golden Tate\TateGo00,NYG,31,WR,11,10,85,49,676,6,30,392,8.0,284,5.8,9.6,3,16.3,3,3.5,4,87.2
77,Mike Williams\WillMi07,LAC,25,WR,15,15,90,49,1001,2,41,814,16.6,187,3.8,17.8,3,16.3,4,4.4,8,64.2
78,Darius Slayton\SlayDa01,NYG,22,WR,14,9,84,48,740,8,32,551,11.5,189,3.9,14.1,5,9.6,2,2.4,4,98.3
79,Chris Conley\ConlCh00,JAX,27,WR,16,14,90,47,775,5,36,523,11.1,252,5.4,14.2,5,9.4,7,7.8,0,100.0
80,Jaylen Samuels\SamuJa00,PIT,23,,14,4,57,47,305,1,19,-61,-1.3,366,7.8,-0.8,1,47.0,5,8.8,1,87.5
81,Marquise Brown\BrowMa04,BAL,22,wr,14,11,71,46,584,7,24,358,7.8,226,4.9,11.0,3,15.3,2,2.8,0,123.2
82,T.Y. Hilton\HiltT.00,IND,30,WR,10,10,68,45,501,5,24,288,6.4,213,4.7,10.3,2,22.5,3,4.4,1,106.3
83,Evan Engram\EngrEv00,NYG,25,TE,8,6,68,44,467,3,23,215,4.9,252,5.7,5.8,2,22.0,3,4.4,0,99.3
84,Nyheim Hines\HineNy00,IND,23,,16,2,58,44,320,0,15,5,0.1,315,7.2,1.3,4,11.0,2,3.4,0,88.3
85,Duke Johnson\JohnDu00,HOU,26,,16,2,62,44,410,3,18,49,1.1,361,8.2,2.6,9,4.9,1,1.6,2,91.5
86,James Washington\WashJa00,PIT,23,WR,15,10,80,44,735,3,31,550,12.5,185,4.2,15.8,1,44.0,5,6.3,5,72.7
87,Jared Cook*\CookJa02,NOR,32,te,14,7,65,43,705,9,32,451,10.5,254,5.9,10.3,3,14.3,4,6.2,1,135.6
88,Corey Davis\DaviCo03,TEN,24,WR,15,11,69,43,601,2,33,360,8.4,241,5.6,11.5,8,5.4,4,5.8,0,100.0
89,Jack Doyle*\DoylJa00,IND,29,TE,16,16,72,43,448,4,29,232,5.4,216,5.0,6.8,0,,3,4.2,2,84.7
90,Tyler Eifert\EifeTy00,CIN,29,,16,4,63,43,436,3,24,312,7.3,124,2.9,8.0,1,43.0,5,7.9,1,97.1
91,Alex Erickson\EricAl01,CIN,27,wr,16,6,78,43,529,0,26,265,6.2,264,6.1,8.1,3,14.3,2,2.6,3,60.3
92,Royce Freeman\FreeRo00,DEN,23,,16,0,50,43,256,1,10,-3,-0.1,259,6.0,0.1,4,10.8,2,4.0,0,94.7
93,Alshon Jeffery\JeffAl00,PHI,29,WR,10,10,73,43,490,4,36,379,8.8,111,2.6,11.1,0,,3,4.1,1,91.7
94,Albert Wilson\WilsAl02,MIA,27,,13,4,62,43,351,1,22,172,4.0,179,4.2,5.3,1,43.0,5,8.1,1,82.1
95,Brandin Cooks\CookBr00,LAR,26,WR,14,14,72,42,583,2,32,414,9.9,169,4.0,13.9,0,,4,5.6,2,82.1
96,Melvin Gordon\GordMe00,LAC,26,RB,12,11,55,42,296,1,11,-25,-0.6,321,7.6,-0.9,8,5.3,4,7.3,0,94.2
97,JuJu Smith-Schuster\SmitJu00,PIT,23,WR,12,12,70,42,552,3,23,323,7.7,229,5.5,9.7,0,,5,7.1,3,81.4
98,Chris Thompson\ThomCh03,WAS,29,,11,0,58,42,378,0,16,41,1.0,337,8.0,1.7,3,14.0,2,3.4,0,89.6
99,Tyrell Williams\WillTy00,OAK,27,WR,14,12,64,42,651,6,33,461,11.0,190,4.5,13.7,1,42.0,5,7.8,3,110.9
100,Jacob Hollister\HollJa03,SEA,26,,11,3,59,41,349,3,16,180,4.4,169,4.1,5.8,3,13.7,1,1.7,2,87.5
101,Zach Pascal\PascZa00,IND,25,WR,16,13,72,41,607,5,29,372,9.1,235,5.7,10.8,3,13.7,3,4.2,4,84.7
102,Noah Fant\FantNo00,DEN,22,TE,16,11,66,40,562,3,23,232,5.8,330,8.3,7.6,3,13.3,5,7.6,3,84.3
103,Kenny Stills\StilKe00,HOU,27,wr,13,5,55,40,561,4,27,417,10.4,144,3.6,10.5,0,,2,3.6,1,121.9
104,Auden Tate\TateAu00,CIN,22,WR,12,10,80,40,575,1,29,455,11.4,120,3.0,11.5,3,13.3,3,3.8,2,67.4
105,Nelson Agholor\AghoNe00,PHI,26,WR,11,10,69,39,363,3,17,237,6.1,126,3.2,11.2,4,9.8,4,5.8,0,85.6
106,Kyle Rudolph\RudoKy00,MIN,30,TE,16,16,48,39,367,6,24,177,4.5,190,4.9,6.4,1,39.0,0,0.0,0,138.1
107,Jamaal Williams\WillJa06,GNB,24,,14,2,45,39,253,5,16,-26,-0.7,279,7.2,-0.8,10,3.9,1,2.2,0,127.1
108,Jimmy Graham\GrahJi00,GNB,33,TE,16,10,60,38,447,3,23,204,5.4,243,6.4,8.9,2,19.0,2,3.3,0,102.6
109,Vance McDonald\McDoVa00,PIT,29,TE,14,14,55,38,273,3,12,101,2.7,172,4.5,5.1,1,38.0,3,5.5,2,83.4
110,Chris Carson\CarsCh00,SEA,25,RB,15,15,47,37,266,2,10,-29,-0.8,295,8.0,-0.6,6,6.2,3,6.4,0,104.4
111,Gerald Everett\EverGe00,LAR,25,,13,2,60,37,408,2,22,230,6.2,178,4.8,8.1,9,4.1,0,0.0,2,79.0
112,Adam Humphries\HumpAd00,TEN,26,,12,3,47,37,374,2,20,254,6.9,120,3.2,7.5,0,,1,2.1,0,114.0
113,Kareem Hunt\HuntKa00,CLE,24,,8,3,44,37,285,1,17,9,0.2,276,7.5,0.8,4,9.3,2,4.5,0,101.2
114,Jordan Akins\AkinJo00,HOU,27,TE,16,9,55,36,418,2,21,172,4.8,246,6.8,6.8,6,6.0,4,7.3,3,77.7
115,Cameron Brate\BratCa00,TAM,28,TE,16,6,55,36,311,4,21,221,6.1,90,2.5,7.0,1,36.0,2,3.6,1,96.9
116,Nick Chubb*\ChubNi00,CLE,24,RB,16,16,49,36,278,0,13,-40,-1.1,318,8.8,-0.6,8,4.5,4,8.2,0,86.9
117,David Johnson\JohnDa08,ARI,28,rb,13,9,47,36,370,4,17,148,4.1,222,6.2,3.4,2,18.0,2,4.3,1,118.2
118,Breshad Perriman\PerrBr02,TAM,26,,14,4,69,36,645,6,29,518,14.4,127,3.5,16.3,1,36.0,0,0.0,3,95.4
119,Jalen Richard\RichJa01,OAK,26,,16,0,43,36,323,0,15,87,2.4,236,6.6,2.1,1,36.0,3,7.0,0,98.0
