Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Golden Tate,122,NYG,WR,31,11,10,0,0,0,0,0,1,16,16.0,0,85,49,676,13.8,6,1,1,6,,,103.0,152.2,156.2,127.7,,41,,TateGo00,9.363636363636363,13.836363636363636
Deebo Samuel,70,SFO,WR,23,15,11,0,0,0,0,0,14,159,11.36,3,81,57,802,14.07,3,2,1,6,1.0,,132.0,189.1,196.1,160.6,3.0,26,70.0,SamuDe00,8.8,12.606666666666666
Darius Slayton,105,NYG,WR,22,14,9,0,0,0,0,0,0,0,,0,84,48,740,15.42,8,0,0,8,,,122.0,170.0,173.0,146.0,,33,,SlayDa01,8.714285714285714,12.142857142857142
Sterling Shepard,146,NYG,WR,26,10,10,0,0,0,0,0,6,72,12.0,0,83,57,576,10.11,3,0,0,3,1.0,,85.0,141.8,144.8,113.3,,54,,ShepSt00,8.5,14.180000000000001
Adam Thielen,148,MIN,WR,29,10,10,0,0,0,0,0,4,6,1.5,1,48,30,418,13.93,6,0,0,7,,,84.0,114.4,117.4,99.4,,56,,ThieAd00,8.4,11.440000000000001
John Ross,179,CIN,WR,25,8,8,0,0,0,0,0,3,4,1.33,0,56,28,506,18.07,3,1,1,3,,,67.0,95.0,99.0,81.0,,70,,RossJo00,8.375,11.875
Tyler Boyd,68,CIN,WR,25,16,15,0,0,0,0,0,4,23,5.75,0,148,90,1046,11.62,5,2,2,5,,,133.0,222.9,227.9,177.9,4.0,25,68.0,BoydTy00,8.3125,13.93125
D.K. Metcalf,100,SEA,WR,22,16,15,0,0,0,0,0,2,11,5.5,0,100,58,900,15.52,7,3,3,7,1.0,,129.0,187.1,193.1,158.1,,30,,MetcDK00,8.0625,11.69375
T.Y. Hilton,151,IND,WR,30,10,10,0,0,0,0,0,0,0,,0,68,45,501,11.13,5,0,0,5,,,80.0,125.1,128.1,102.6,,57,,HiltT.00,8.0,12.51
Odell Beckham Jr.,102,CLE,WR,27,16,15,1,2,20,0,0,3,10,3.33,0,133,74,1035,13.99,4,1,1,4,,,127.0,201.3,205.3,164.3,,31,,BeckOd00,7.9375,12.58125
Alshon Jeffery,154,PHI,WR,29,10,10,0,0,0,0,0,1,2,2.0,1,73,43,490,11.4,4,0,0,5,,,79.0,122.2,125.2,100.7,,59,,JeffAl00,7.9,12.22
Cole Beasley,108,BUF,WR,30,15,10,0,0,0,0,0,0,0,,0,106,67,778,11.61,6,0,0,6,2.0,,118.0,184.8,187.8,151.3,,35,,BeasCo00,7.866666666666666,12.32
Will Fuller,143,HOU,WR,25,11,11,0,0,0,0,0,0,0,,0,71,49,670,13.67,3,1,0,3,,,85.0,134.0,137.0,109.5,,53,,FullWi01,7.7272727272727275,12.181818181818182
Christian Kirk,130,ARI,WR,23,13,13,0,0,0,0,0,10,93,9.3,0,108,68,709,10.43,3,0,0,3,1.0,,100.0,168.2,171.2,134.2,,46,,KirkCh01,7.6923076923076925,12.938461538461537
Jamison Crowder,106,NYJ,WR,26,16,12,0,0,0,0,0,1,4,4.0,0,122,78,833,10.68,6,0,0,6,,,120.0,197.7,200.7,158.7,,34,,CrowJa00,7.5,12.35625
Mike Williams,112,LAC,WR,25,15,15,0,0,0,0,0,1,2,2.0,0,90,49,1001,20.43,2,0,0,2,,,112.0,161.3,164.3,136.8,,37,,WillMi07,7.466666666666667,10.753333333333334
Preston Williams,189,MIA,WR,22,8,7,0,0,0,0,0,0,0,,0,60,32,428,13.38,3,2,1,3,,,59.0,90.8,94.8,74.8,,75,,WillPr01,7.375,11.35
Curtis Samuel,109,CAR,WR,23,16,15,0,0,0,0,0,19,130,6.84,1,105,54,627,11.61,6,0,0,7,,,118.0,171.7,177.7,144.7,,36,,SamuCu00,7.375,10.73125
Emmanuel Sanders,103,2TM,WR,32,17,16,1,1,35,1,0,0,0,,0,97,66,869,13.17,5,0,0,5,1.0,,124.0,190.3,193.3,157.3,,32,,SandEm00,7.294117647058823,11.194117647058825
Breshad Perriman,124,TAM,WR,26,14,4,0,0,0,0,0,2,16,8.0,0,69,36,645,17.92,6,0,0,6,,,102.0,138.1,141.1,120.1,,43,,PerrBr02,7.285714285714286,9.864285714285714
Tyrell Williams,127,OAK,WR,27,14,12,0,0,0,0,0,0,0,,0,64,42,651,15.5,6,0,0,6,,,101.0,143.1,146.1,122.1,,44,,WillTy00,7.214285714285714,10.221428571428572
Marquise Brown,128,BAL,WR,22,14,11,0,0,0,0,0,0,0,,0,71,46,584,12.7,7,0,0,7,,,100.0,146.4,149.4,123.4,,45,,BrowMa04,7.142857142857143,10.457142857142857
Robby Anderson,114,NYJ,WR,26,16,15,0,0,0,0,0,1,4,4.0,0,96,52,779,14.98,5,1,0,5,1.0,,110.0,162.3,165.3,136.3,,38,,AndeRo04,6.875,10.14375
Chris Conley,115,JAX,WR,27,16,14,0,0,0,0,0,0,0,,0,90,47,775,16.49,5,0,0,5,1.0,,110.0,156.5,159.5,133.0,,39,,ConlCh00,6.875,9.78125
Taylor Gabriel,188,CHI,WR,28,9,7,0,0,0,0,0,3,20,6.67,0,48,29,353,12.17,4,0,0,4,,,61.0,90.3,93.3,75.8,,74,,GabrTa00,6.777777777777778,10.033333333333333
