Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Justin Watson,288,TAM,WR,24,16,2,0,0,0,0,0,0,0,,0,26,15,159,10.6,2,0,0,2,,,28.0,42.9,45.9,35.4,,114,,WatsJu01,1.75,2.68125
Andy Isabella,298,ARI,WR,23,15,1,0,0,0,0,0,4,15,3.75,0,13,9,189,21.0,1,0,0,1,,,26.0,35.4,38.4,30.9,,119,,IsabAn00,1.7333333333333334,2.36
Keelan Doss,368,OAK,WR,23,8,2,0,0,0,0,0,0,0,,0,14,11,133,12.09,0,0,0,0,,,13.0,24.3,27.3,18.8,,144,,DossKe00,1.625,3.0375
Javon Wims,308,CHI,WR,25,16,6,0,0,0,0,0,0,0,,0,39,18,186,10.33,1,0,0,1,,,25.0,42.6,45.6,33.6,,126,,WimsJa00,1.5625,2.6625
Cordarrelle Patterson,306,CHI,WR,28,16,4,0,0,0,0,0,17,103,6.06,0,17,11,83,7.55,0,0,0,1,,,25.0,35.6,38.6,30.1,,125,,PattCo00,1.5625,2.225
Zay Jones,323,2TM,WR,24,15,9,0,0,0,0,0,1,3,3.0,0,45,27,216,8.0,0,0,0,0,,,22.0,48.9,51.9,35.4,,134,,JoneZa00,1.4666666666666666,3.26
Byron Pringle,318,KAN,WR,26,16,0,0,0,0,0,0,0,0,,0,16,12,170,14.17,1,0,0,1,,,23.0,35.0,38.0,29.0,,131,,PrinBy00,1.4375,2.1875
JJ Arcega-Whiteside,314,PHI,WR,23,16,5,0,0,0,0,0,0,0,,0,22,10,169,16.9,1,0,0,1,,,23.0,32.9,35.9,27.9,,132,,ArceJJ00,1.4375,2.05625
Trevor Davis,333,3TM,WR,26,14,4,0,0,0,0,0,4,73,18.25,1,11,8,111,13.88,0,3,2,1,,,20.0,28.4,33.4,24.4,,137,,DaviTr03,1.4285714285714286,2.0285714285714285
Brandon Zylstra,384,CAR,WR,26,8,0,0,0,0,0,0,0,0,,0,12,8,106,13.25,0,1,0,0,,,11.0,18.6,21.6,14.6,,150,,ZylsBr00,1.375,2.325
Richie James,335,SFO,WR,24,16,1,0,0,0,0,0,2,-1,-0.5,0,10,6,165,27.5,1,1,1,1,,,20.0,26.4,30.4,23.4,,138,,JameRi00,1.25,1.65
Justin Hardy,334,ATL,WR,28,16,1,0,0,0,0,0,0,0,,0,26,19,195,10.26,0,0,0,0,,,20.0,38.5,41.5,29.0,,140,,HardJu00,1.25,2.40625
Rashard Higgins,378,CLE,WR,25,10,1,0,0,0,0,0,0,0,,0,11,4,55,13.75,1,0,0,1,,,12.0,15.5,15.5,13.5,,149,,HiggRa00,1.2,1.55
Christian Blake,397,ATL,WR,23,9,3,0,0,0,0,0,0,0,,0,24,11,91,8.27,0,0,0,0,,,9.0,20.1,20.1,14.6,,157,,BlakCh00,1.0,2.2333333333333334
Deon Cain,377,2TM,WR,23,13,6,0,0,0,0,0,0,0,,0,20,9,124,13.78,0,0,0,0,,,12.0,21.4,24.4,16.9,,147,,CainDe00,0.9230769230769231,1.646153846153846
Marcell Ateman,385,OAK,WR,25,11,0,0,0,0,0,0,0,0,,0,10,5,116,23.2,0,1,1,0,,,10.0,14.6,18.6,12.1,,153,,AtemMa00,0.9090909090909091,1.3272727272727272
DeAndre Carter,361,HOU,WR,26,16,3,0,0,0,0,0,0,0,,0,14,11,162,14.73,0,2,1,0,,,14.0,25.2,29.2,19.7,,143,,CartDe02,0.875,1.575
Mack Hollins,370,2TM,WR,26,16,3,0,0,0,0,0,0,0,,0,23,10,125,12.5,0,0,0,0,,,13.0,22.5,25.5,17.5,,146,,HollMa00,0.8125,1.40625
Damion Willis,411,CIN,WR,22,10,2,0,0,0,0,0,0,0,,0,16,9,82,9.11,0,0,0,0,,,8.0,17.2,17.2,12.7,,159,,WillDa11,0.8,1.72
Deonte Harris,388,NOR,WR,22,14,1,0,0,0,0,0,4,31,7.75,0,6,6,24,4.0,0,3,1,1,,,10.0,15.5,16.5,12.5,,154,,HarrDe07,0.7142857142857143,1.1071428571428572
Robert Foster,400,BUF,WR,25,13,2,0,0,0,0,0,2,29,14.5,0,18,3,64,21.33,0,0,0,0,,,9.0,12.3,12.3,10.8,,156,,FostRo01,0.6923076923076923,0.9461538461538462
Ventell Bryant,407,DAL,WR,23,12,0,0,0,0,0,0,0,0,,0,1,1,15,15.0,1,0,0,1,,,8.0,8.5,8.5,8.0,,162,,BryaVe00,0.6666666666666666,0.7083333333333334
Braxton Berrios,386,NYJ,WR,24,16,0,0,0,0,0,0,0,0,,0,13,6,115,19.17,0,1,1,0,,,10.0,15.5,19.5,12.5,,155,,BerrBr00,0.625,0.96875
KhaDarel Hodge,409,CLE,WR,24,16,1,0,0,0,0,0,0,0,,0,10,4,76,19.0,0,0,0,0,,,8.0,11.6,11.6,9.6,,161,,HodgKh00,0.5,0.725
DeAndrew White,447,CAR,WR,28,10,0,0,0,0,0,0,0,0,,0,9,4,51,12.75,0,0,0,0,,,5.0,9.1,9.1,7.1,,169,,WhitDe01,0.5,0.9099999999999999
Trent Sherfield,410,ARI,WR,23,16,1,0,0,0,0,0,0,0,,0,13,4,80,20.0,0,0,0,0,,,8.0,12.0,12.0,10.0,,160,,SherTr00,0.5,0.75
Andre Patton,432,LAC,WR,25,13,5,0,0,0,0,0,0,0,,0,17,6,56,9.33,0,0,0,0,,,6.0,11.6,11.6,8.6,,168,,PattAn00,0.46153846153846156,0.8923076923076922
Jason Moore,455,LAC,WR,24,10,0,0,0,0,0,0,0,0,,0,5,2,43,21.5,0,0,0,0,,,4.0,6.3,6.3,5.3,,173,,MoorJa02,0.4,0.63
Ryan Switzer,476,PIT,WR,25,9,0,0,0,0,0,0,0,0,,0,11,8,27,3.38,0,1,0,0,,,3.0,10.7,10.7,6.7,,186,,SwitRy00,0.3333333333333333,1.1888888888888889
Darius Jennings,486,TEN,WR,27,8,0,0,0,0,0,0,0,0,,0,5,2,17,8.5,0,0,0,0,,,2.0,3.7,3.7,2.7,,198,,JennDa00,0.25,0.4625
Donte Moncrief,489,2TM,WR,26,8,2,0,0,0,0,0,0,0,,0,15,4,18,4.5,0,0,0,0,,,2.0,5.8,5.8,3.8,,194,,MoncDo00,0.25,0.725
Andre Roberts,470,BUF,WR,31,13,0,0,0,0,0,0,1,7,7.0,0,7,3,20,6.67,0,1,0,0,,,3.0,5.7,5.7,4.2,,187,,RobeAn00,0.23076923076923078,0.43846153846153846
Johnny Holton,464,PIT,WR,28,16,3,0,0,0,0,0,1,9,9.0,0,15,3,21,7.0,0,0,0,0,,,3.0,6.0,6.0,4.5,,182,,HoltJo00,0.1875,0.375
Cody Core,461,NYG,WR,25,16,0,0,0,0,0,0,0,0,,0,5,3,28,9.33,0,0,0,0,,,3.0,5.8,5.8,4.3,,183,,CoreCo00,0.1875,0.3625
Stanley Morgan Jr.,491,CIN,WR,23,11,0,0,0,0,0,0,0,0,,0,10,3,18,6.0,0,0,0,0,,,2.0,4.8,4.8,3.3,,195,,MorgSt02,0.18181818181818182,0.43636363636363634
Fred Brown,480,DEN,WR,26,13,1,0,0,0,0,0,0,0,,0,3,2,21,10.5,0,1,0,0,,,2.0,4.1,4.1,3.1,,191,,BrowFr01,0.15384615384615385,0.3153846153846154
Ashton Dulin,484,IND,WR,22,13,0,0,0,0,0,0,0,0,,0,2,2,17,8.5,0,0,0,0,,,2.0,3.7,3.7,2.7,,196,,DuliAs00,0.15384615384615385,0.2846153846153846
Chris Moore,490,BAL,WR,26,14,1,0,0,0,0,0,1,0,0.0,0,5,3,21,7.0,0,0,0,0,,,2.0,5.1,5.1,3.6,,190,,MoorCh00,0.14285714285714285,0.36428571428571427
Diontae Spencer,496,DEN,WR,27,16,2,0,0,0,0,0,3,6,2.0,0,8,6,31,5.17,0,3,1,0,,,2.0,7.7,8.7,4.7,,199,,SpenDi00,0.125,0.48125
Gunner Olszewski,522,NWE,WR,23,8,0,0,0,0,0,0,0,0,,0,4,2,34,17.0,0,1,1,0,,,1.0,3.4,4.4,2.4,,203,,OlszGu00,0.125,0.425
De'Anthony Thomas,530,2TM,WR,26,14,0,0,0,0,0,0,2,5,2.5,0,2,1,6,6.0,0,3,0,0,,,1.0,2.1,2.1,1.6,,208,,ThomDe05,0.07142857142857142,0.15
Mike Thomas,532,LAR,WR,25,16,0,0,0,0,0,0,0,0,,0,5,2,14,7.0,0,0,0,0,,,1.0,3.4,3.4,2.4,,202,,ThomMi04,0.0625,0.2125
