Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Dawson Knox,213,BUF,TE,23,15,11,0,0,0,0,0,1,9,9.0,0,50,28,388,13.86,2,0,0,2,,,52.0,79.7,82.7,65.7,,29,,KnoxDa00,3.466666666666667,5.3133333333333335
Cameron Brate,200,TAM,TE,28,16,6,0,0,0,0,0,0,0,,0,55,36,311,8.64,4,0,0,4,,,55.0,91.1,94.1,73.1,,24,,BratCa00,3.4375,5.69375
Blake Jarwin,202,DAL,TE,25,16,7,0,0,0,0,0,0,0,,0,41,31,365,11.77,3,1,0,3,,,55.0,85.5,88.5,70.0,,25,,JarwBl00,3.4375,5.34375
Jordan Akins,204,HOU,TE,27,16,9,0,0,0,0,0,0,0,,0,55,36,418,11.61,2,0,0,2,,,54.0,89.8,92.8,71.8,,26,,AkinJo00,3.375,5.6125
Vance McDonald,231,PIT,TE,29,14,14,0,0,0,0,0,1,2,2.0,0,55,38,273,7.18,3,1,0,3,,,46.0,83.5,86.5,64.5,,35,,McDoVa00,3.2857142857142856,5.964285714285714
Ricky Seals-Jones,234,CLE,TE,24,14,3,0,0,0,0,0,0,0,,0,22,14,229,16.36,4,1,1,4,,,45.0,58.9,62.9,51.9,,36,,SealRi00,3.2142857142857144,4.207142857142857
Hayden Hurst,227,BAL,TE,26,16,4,0,0,0,0,0,0,0,,0,39,30,349,11.63,2,0,0,2,,,47.0,76.9,79.9,61.9,,34,,HursHa00,2.9375,4.80625
Nick Boyle,236,BAL,TE,26,16,15,0,0,0,0,0,0,0,,0,43,31,321,10.35,2,0,0,2,,,44.0,75.1,78.1,59.6,,38,,BoylNi00,2.75,4.69375
Irv Smith Jr.,239,MIN,TE,21,16,7,0,0,0,0,0,0,0,,0,47,36,311,8.64,2,1,0,2,,,43.0,79.1,82.1,61.1,,39,,SmitIr01,2.6875,4.94375
Josh Hill,246,NOR,TE,29,16,11,0,0,0,0,0,0,0,,0,35,25,226,9.04,3,0,0,3,,,41.0,65.6,68.6,53.1,,40,,HillJo02,2.5625,4.1
Demetrius Harris,266,CLE,TE,28,15,6,0,0,0,0,0,0,0,,0,27,15,149,9.93,3,0,0,3,1.0,,35.0,49.9,52.9,42.4,,42,,HarrDe03,2.3333333333333335,3.3266666666666667
Rhett Ellison,316,NYG,TE,31,10,7,0,0,0,0,0,0,0,,0,28,18,167,9.28,1,0,0,1,,,23.0,40.7,43.7,31.7,,51,,ElliRh00,2.3,4.07
C.J. Uzomah,265,CIN,TE,26,16,16,0,0,0,0,0,0,0,,0,40,27,242,8.96,2,0,0,2,,,36.0,63.2,66.2,49.7,,41,,UzomC.00,2.25,3.95
Charles Clay,280,ARI,TE,30,15,10,0,0,0,0,0,0,0,,0,24,18,237,13.17,1,0,0,1,,,30.0,47.7,50.7,38.7,,45,,ClayCh00,2.0,3.18
Jeremy Sprinkle,283,WAS,TE,25,16,13,0,0,0,0,0,0,0,,0,40,26,241,9.27,1,1,0,1,,,30.0,56.1,59.1,43.1,,44,,SpriJe00,1.875,3.50625
Anthony Firkser,294,TEN,TE,24,15,1,0,0,0,0,0,0,0,,0,24,14,204,14.57,1,0,0,1,,,26.0,40.4,43.4,33.4,,47,,FirkAn00,1.7333333333333334,2.6933333333333334
Matt LaCosse,337,NWE,TE,27,11,8,0,0,0,0,0,0,0,,0,19,13,131,10.08,1,0,0,1,,,19.0,32.1,35.1,25.6,,57,,LaCoMa00,1.7272727272727273,2.9181818181818184
Ben Watson,352,NWE,TE,39,10,8,0,0,0,0,0,0,0,,0,24,17,173,10.18,0,0,0,0,,,17.0,34.3,37.3,25.8,,61,,WatsBe00,1.7,3.4299999999999997
Maxx Williams,302,ARI,TE,25,16,10,0,0,0,0,0,0,0,,0,19,15,202,13.47,1,0,0,1,,,26.0,41.2,44.2,33.7,,48,,WillMa04,1.625,2.575
Robert Tonyan,357,GNB,TE,25,11,1,0,0,0,0,0,0,0,,0,15,10,100,10.0,1,0,0,1,,,16.0,26.0,29.0,21.0,,65,,TonyRo00,1.4545454545454546,2.3636363636363638
Hale Hentges,356,WAS,TE,23,11,4,0,0,0,0,0,0,0,,0,14,8,103,12.88,1,0,0,1,,,16.0,24.3,27.3,20.3,,64,,HentHa00,1.4545454545454546,2.209090909090909
Logan Thomas,320,DET,TE,28,16,3,0,0,0,0,0,0,0,,0,28,16,173,10.81,1,0,0,1,,,23.0,39.3,42.3,31.3,,50,,ThomLo00,1.4375,2.45625
Nick O'Leary,349,2TM,TE,27,12,5,0,0,0,0,0,0,0,,0,18,13,109,8.38,1,1,0,1,,,17.0,29.9,32.9,23.4,,62,,OLeaNi00,1.4166666666666667,2.4916666666666667
Marcedes Lewis,324,GNB,TE,35,16,11,0,0,0,0,0,0,0,,0,19,15,156,10.4,1,0,0,1,,,22.0,36.6,39.6,29.1,,52,,LewiMa00,1.375,2.2875
Jaeden Graham,327,ATL,TE,24,16,0,0,0,0,0,0,0,0,,0,10,9,149,16.56,1,0,0,1,,,21.0,29.9,32.9,25.4,,54,,GrahJa01,1.3125,1.86875
Ross Dwelley,326,SFO,TE,24,16,6,0,0,0,0,0,0,0,,0,22,15,91,6.07,2,0,0,2,,,21.0,36.1,36.1,28.6,,53,,DwelRo00,1.3125,2.25625
Ian Thomas,336,CAR,TE,23,16,3,0,0,0,0,0,0,0,,0,30,16,136,8.5,1,0,0,1,,,20.0,35.6,38.6,27.6,,55,,ThomIa00,1.25,2.225
Derek Carrier,332,OAK,TE,29,16,4,0,0,0,0,0,1,27,27.0,0,19,13,108,8.31,1,0,0,1,,,20.0,32.5,35.5,26.0,,56,,CarrDe00,1.25,2.03125
Stephen Carlson,381,CLE,TE,23,9,5,0,0,0,0,0,0,0,,0,7,5,51,10.2,1,0,0,1,,,11.0,16.1,16.1,13.6,,76,,CarlSt00,1.2222222222222223,1.788888888888889
Jeff Heuerman,344,DEN,TE,27,14,11,0,0,0,0,0,0,0,,0,20,14,114,8.14,1,0,0,1,,,17.0,31.4,34.4,24.4,,60,,HeueJe00,1.2142857142857142,2.242857142857143
Tyler Kroft,372,BUF,TE,27,11,3,0,0,0,0,0,0,0,,0,14,6,71,11.83,1,0,0,1,,,13.0,19.1,19.1,16.1,,72,,KrofTy00,1.1818181818181819,1.7363636363636366
Seth Devalve,362,JAX,TE,26,12,6,0,0,0,0,0,0,0,,0,18,12,140,11.67,0,0,0,0,,,14.0,26.0,29.0,20.0,,69,,DevaSe00,1.1666666666666667,2.1666666666666665
Ben Braunecker,375,CHI,TE,25,11,3,0,0,0,0,0,0,0,,0,11,6,59,9.83,1,0,0,1,,,12.0,17.9,17.9,14.9,,74,,BrauBe00,1.0909090909090908,1.6272727272727272
Nick Vannett,351,2TM,TE,26,16,7,0,0,0,0,0,0,0,,0,22,17,166,9.76,0,0,0,0,,,17.0,33.6,36.6,25.1,,63,,VannNi00,1.0625,2.1
Trey Burton,408,CHI,TE,28,8,5,0,0,0,0,0,0,0,,0,24,14,84,6.0,0,0,0,0,,,8.0,22.4,22.4,15.4,,82,,BurtTr01,1.0,2.8
Luke Willson,412,SEA,TE,29,8,7,0,0,0,0,0,0,0,,0,10,8,79,9.88,0,0,0,0,,,8.0,15.9,15.9,11.9,,83,,WillLu00,1.0,1.9875
MyCole Pruitt,359,TEN,TE,27,16,10,0,0,0,0,0,0,0,,0,8,6,90,15.0,1,0,0,1,,,15.0,21.0,21.0,18.0,,66,,PruiMy00,0.9375,1.3125
Virgil Green,364,LAC,TE,31,15,4,0,0,0,0,0,0,0,,0,13,9,78,8.67,1,0,0,1,,,14.0,22.8,22.8,18.3,,70,,GreeVi00,0.9333333333333333,1.52
Troy Fumagalli,387,DEN,TE,24,11,5,0,0,0,0,0,0,0,,0,9,6,38,6.33,1,0,0,1,,,10.0,15.8,15.8,12.8,,78,,FumaTr00,0.9090909090909091,1.4363636363636365
Adam Shaheen,421,CHI,TE,25,8,2,0,0,0,0,0,0,0,,0,13,9,74,8.22,0,1,1,0,1.0,,7.0,16.4,17.4,11.9,,84,,ShahAd00,0.875,2.05
Jesse James,366,DET,TE,25,16,11,0,0,0,0,0,0,0,,0,27,16,142,8.88,0,0,0,0,,,14.0,30.2,33.2,22.2,,68,,JameJe00,0.875,1.8875
Daniel Brown,367,NYJ,TE,27,16,5,0,0,0,0,0,0,0,,0,11,7,72,10.29,1,0,0,1,,,13.0,20.2,20.2,16.7,,71,,BrowDa04,0.8125,1.2625
J.P. Holtz,401,2TM,TE,26,15,7,0,0,0,0,0,0,0,,0,8,7,91,13.0,0,0,0,0,,,9.0,16.1,16.1,12.6,,81,,HoltJ.01,0.6,1.0733333333333335
