,Mean,Median,STD,+1SD,-1SD,L3 Rel to Self,.30,.70,L3 Touches,Mean Rel to Peers,SD Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Jalen Richard,0.8004724702380953,0.61875,0.7392081943801148,1.53968066461821,0.061264275857980555,-0.32380777289368085,0.5177777777777778,0.8116666666666666,4.0,0.45480742100920346,0.974793366147272,13.0,34.0,23.5
Carlos Hyde,0.5061034069729649,0.47375000000000006,0.31744138361742447,0.8235447905903893,0.1886620233555404,0.6888153500882667,0.351,0.6177884615384616,6.333333333333333,-1.678844284275671,-0.5441456905778422,37.0,10.0,23.5
Phillip Lindsay,0.6931425726039844,0.5700000000000001,0.37493780464409165,1.068080377248076,0.3182047679598927,-0.8075586824745955,0.4406315789473685,0.8115686274509804,16.333333333333332,-0.3231432799746611,-0.33707970698044,24.0,18.0,21.0
Tarik Cohen,0.7814151213369964,0.6348214285714286,0.5186275770511762,1.3000426983881725,0.2627875442858202,-0.3547973961890419,0.49069230769230776,0.9490000000000001,6.666666666666667,0.316675565269949,0.18040057309751636,15.0,30.0,22.5
Le'Veon Bell,0.5670676844765044,0.49786967418546374,0.23920249563794208,0.8062701801144464,0.3278651888385623,-0.3915301377355297,0.40483870967741936,0.6531969309462915,14.333333333333334,-1.2369617942677762,-0.8259130076691886,33.0,1.0,17.0
Royce Freeman,0.5569603075104721,0.5,0.31539323108016093,0.872353538590633,0.24156707643031117,-0.23520647376810688,0.3485964912280701,0.6579166666666667,6.0,-1.3102222852321688,-0.5515218491649878,34.0,9.0,21.5
Duke Johnson,0.7928498931623932,0.6325396825396825,0.5023300553865984,1.2951799485489914,0.2905198377757948,-0.7438997975308008,0.5383333333333333,0.9299999999999999,5.666666666666667,0.3995573060825926,0.12170713977736936,14.0,28.0,21.0
Tevin Coleman,0.7281908678025406,0.615,0.5430463730320836,1.2712372408346242,0.18514449477045702,-0.7087010494524921,0.42433333333333334,0.8187412587412587,9.0,-0.06910552890034373,0.2683417339169999,18.0,32.0,25.0
Marlon Mack,0.6774953563933344,0.7326923076923078,0.320664121157302,0.9981594775506364,0.3568312352360324,1.013824792826702,0.4354166666666667,0.8155555555555556,13.333333333333334,-0.4365577440508161,-0.5325394148017987,25.0,11.0,18.0
LeSean McCoy,0.5438703012387224,0.4276923076923077,0.41634621670083455,0.960216517939557,0.12752408453788783,0.0067164425081198634,0.275,0.5383333333333334,3.0,-1.4051015293148021,-0.18795262361364753,36.0,21.0,28.5
