,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Mean,1.0,0.5522247440561034,0.8489423286365687,0.9361145650703622,-0.4826013901849131,0.023679302898797393,0.8350063728274842,0.9069441351815005,-0.10305533587269229,0.02654395482851206,,,,,
Median,0.5522247440561034,1.0,0.13157813195123408,0.2925274274335672,0.292372842816652,0.1828792679902247,0.898971911605843,0.8343530818170151,0.42764148809460056,0.5437541513015103,,,,,
STD,0.8489423286365687,0.13157813195123408,1.0,0.980573097537892,-0.8725695455328185,-0.08841681520027478,0.19708676694134863,0.3584308272905849,-0.3973222187144732,-0.29886059428780376,,,,,
+1SD,0.9361145650703622,0.2925274274335672,0.980573097537892,1.0,-0.7597989622756108,-0.05005053114339305,0.4976048389533346,0.6376730438171513,-0.3026592787627442,-0.18903288036315025,,,,,
-1SD,-0.4826013901849131,0.292372842816652,-0.8725695455328185,-0.7597989622756108,1.0,0.16841728630411446,0.4322661590063672,0.28857224527471603,0.5632117531345479,0.5198260884720762,,,,,
L5 Rel to Self,0.023679302898797393,0.1828792679902247,-0.08841681520027478,-0.05005053114339305,0.16841728630411446,1.0,0.04895269346819004,0.0014513519546598115,0.2238638092506549,0.4373288616714736,,,,,
.30,0.8350063728274842,0.898971911605843,0.19708676694134863,0.4976048389533346,0.4322661590063672,0.04895269346819004,1.0,0.7924134048741706,0.48070493317451396,0.6352729477535738,,,,,
.70,0.9069441351815005,0.8343530818170151,0.3584308272905849,0.6376730438171513,0.28857224527471603,0.0014513519546598115,0.7924134048741706,1.0,0.36424653795233325,0.5599561290719938,,,,,
L5 Touches,-0.10305533587269229,0.42764148809460056,-0.3973222187144732,-0.3026592787627442,0.5632117531345479,0.2238638092506549,0.48070493317451396,0.36424653795233325,1.0,0.9215919416976849,,,,,
L5 Avg FP/G,0.02654395482851206,0.5437541513015103,-0.29886059428780376,-0.18903288036315025,0.5198260884720762,0.4373288616714736,0.6352729477535738,0.5599561290719938,0.9215919416976849,1.0,,,,,
Mean Rel to Peers,,,,,,,,,,,,,,,
SD Rel to Peers,,,,,,,,,,,,,,,
Mean Rel to Peers RK,,,,,,,,,,,,,,,
STD Rel to Peers RK,,,,,,,,,,,,,,,
Avg Rank Rel to Peers,,,,,,,,,,,,,,,
