,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,Y/A,TD.1,Rt,Yds.2,Y/Rt,TD.2,2PM,TD.3,Pts,Fmb,FL,FF,FR,Yds.3,TD.4,Num,Pct,Num.1,Pct.1,Num.2,Pct.2
24,24,2019,2019-10-27,8,8,24.311,ATL,,SEA,L 20-27,,7,4,70,17.50,0,57.1%,10.00,0,0,,0,0,0,,0,1,0,2,0,0,0,0,0,0,61,80%,0,0%,0,0%
25,25,2019,2019-11-10,9,10,24.325,ATL,@,NOR,W 26-9,*,5,3,28,9.33,0,60.0%,5.60,1,19,19.00,0,0,0,,0,,0,0,0,0,0,0,0,0,68,89%,0,0%,0,0%
26,26,2019,2019-11-17,10,11,24.332,ATL,@,CAR,W 29-3,*,8,8,143,17.88,1,100.0%,17.88,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,80%,0,0%,0,0%
27,27,2019,2019-11-24,11,12,24.339,ATL,,TAM,L 22-35,*,14,6,85,14.17,1,42.9%,6.07,1,15,15.00,0,0,0,,0,,1,6,0,0,0,0,0,0,72,85%,0,0%,0,0%
28,28,2019,2019-11-28,12,13,24.343,ATL,,NOR,L 18-26,*,10,8,91,11.38,0,80.0%,9.10,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,85,93%,0,0%,0,0%
29,29,2019,2019-12-08,13,14,24.353,ATL,,CAR,W 40-20,*,5,5,76,15.20,1,100.0%,15.20,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,36,52%,0,0%,0,0%
31,30,2020,2020-09-13,1,1,25.268,ATL,,SEA,L 25-38,*,12,9,130,14.44,2,75.0%,10.83,1,-1,-1.00,0,0,0,,0,,2,12,0,0,0,0,0,0,68,86%,0,0%,0,0%
32,31,2020,2020-09-20,2,2,25.275,ATL,@,DAL,L 39-40,*,10,7,109,15.57,2,70.0%,10.90,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,63,84%,0,0%,2,6%
33,32,2020,2020-09-27,3,3,25.282,ATL,,CHI,L 26-30,*,13,5,110,22.00,0,38.5%,8.46,1,7,7.00,0,0,0,,0,,0,0,0,0,0,0,0,0,63,93%,0,0%,1,3%
34,33,2020,2020-10-05,4,4,25.290,ATL,@,GNB,L 16-30,*,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%
35,34,2020,2020-10-11,5,5,25.296,ATL,,CAR,L 16-23,*,10,8,136,17.00,0,80.0%,13.60,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%
36,35,2020,2020-10-18,6,6,25.303,ATL,@,MIN,W 40-23,*,7,6,61,10.17,1,85.7%,8.71,1,8,8.00,0,0,0,,0,,1,6,0,0,0,0,0,0,59,74%,0,0%,0,0%
