,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Rate,Sk,Yds.3,Y/A.1,AY/A,Rt,Yds.4,Y/Rt,TD.3,Ret,Yds.5,Y/R.1,TD.4,2PM,TD.5,Pts,Fmb,FL,FF,FR,Yds.6,TD.6,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,FantPts,Touches,FP/Touch
34,33,2019,2019-09-15,2,2,24.052,NOR,@,LAR,L 9-27,*,13,45.0,3.46,0.0,3,1,15.0,15.00,0.0,33.3%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,6.0,14,0.42857142857142855
35,34,2019,2019-09-22,3,3,24.059,NOR,@,SEA,W 33-27,*,16,69.0,4.31,1.0,10,9,92.0,10.22,1.0,90.0%,9.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,49,88%,0,0%,1,4%,28.1,25,1.124
36,35,2019,2019-09-29,4,4,24.066,NOR,,DAL,W 12-10,*,17,69.0,4.06,0.0,3,3,20.0,6.67,0.0,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,8.9,20,0.445
37,36,2019,2019-10-06,5,5,24.073,NOR,,TAM,W 31-24,*,16,62.0,3.88,0.0,7,6,42.0,7.00,0.0,85.7%,6.00,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,68%,0,0%,1,3%,10.4,22,0.4727272727272727
38,37,2019,2019-10-13,6,6,24.080,NOR,@,JAX,W 13-6,*,11,31.0,2.82,0.0,8,7,35.0,5.00,0.0,87.5%,4.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,39,59%,0,0%,0,0%,6.6,18,0.36666666666666664
39,38,2019,2019-11-10,9,10,24.108,NOR,,ATL,L 9-26,,4,24.0,6.00,0.0,10,8,50.0,6.25,0.0,80.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,7.4,12,0.6166666666666667
40,39,2019,2019-11-17,10,11,24.115,NOR,@,TAM,W 34-17,,13,75.0,5.77,0.0,10,10,47.0,4.70,0.0,100.0%,4.70,0,0,,0,0,0,,0,0,,,0,0,,0,3,32,10.67,0,,0,0,1,0,0,0,0,0,42,63%,0,0%,3,12%,12.2,23,0.5304347826086956
41,40,2019,2019-11-24,11,12,24.122,NOR,,CAR,W 34-31,,11,54.0,4.91,0.0,9,9,48.0,5.33,0.0,100.0%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,1,-2,-2.00,0,,0,0,0,0,0,0,0,0,43,67%,0,0%,3,10%,10.200000000000001,20,0.51
42,41,2019,2019-11-28,12,13,24.126,NOR,@,ATL,W 26-18,*,11,61.0,5.55,0.0,8,4,23.0,5.75,0.0,50.0%,2.88,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,82%,0,0%,3,10%,8.4,15,0.56
43,42,2019,2019-12-08,13,14,24.136,NOR,,SFO,L 46-48,*,13,25.0,1.92,0.0,6,4,18.0,4.50,0.0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,55,76%,0,0%,0,0%,4.3,17,0.2529411764705882
44,43,2019,2019-12-16,14,15,24.144,NOR,,IND,W 34-7,,14,66.0,4.71,0.0,5,5,23.0,4.60,0.0,100.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,63%,0,0%,0,0%,8.9,19,0.46842105263157896
45,44,2019,2019-12-22,15,16,24.150,NOR,@,TEN,W 38-28,*,11,80.0,7.27,2.0,7,6,30.0,5.00,0.0,85.7%,4.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,44,63%,0,0%,0,0%,23.0,17,1.3529411764705883
46,45,2019,2019-12-29,16,17,24.157,NOR,@,CAR,W 42-10,,8,39.0,4.88,2.0,3,2,18.0,9.00,0.0,66.7%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,28,41%,0,0%,0,0%,17.7,10,1.77
48,46,2020,2020-09-13,1,1,25.050,NOR,,TAM,W 34-23,*,12,16.0,1.33,1.0,8,5,51.0,10.20,1.0,62.5%,6.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,45,66%,0,0%,1,3%,18.7,17,1.0999999999999999
49,47,2020,2020-09-21,2,2,25.058,NOR,@,LVR,L 24-34,*,13,79.0,6.08,2.0,9,9,95.0,10.56,0.0,100.0%,10.56,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,41,68%,0,0%,0,0%,29.4,22,1.3363636363636362
50,48,2020,2020-09-27,3,3,25.064,NOR,,GNB,L 30-37,,6,58.0,9.67,0.0,14,13,139.0,10.69,2.0,92.9%,9.93,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,41,67%,0,0%,0,0%,31.700000000000003,19,1.668421052631579
51,49,2020,2020-10-04,4,4,25.071,NOR,@,DET,W 35-29,*,19,83.0,4.37,1.0,4,3,36.0,12.00,0.0,75.0%,9.00,0,0,,0,0,0,,0,0,,,1,13,13.00,0,1,0,0.00,0,,1,6,0,0,0,1,0,0,47,67%,0,0%,2,8%,17.900000000000002,22,0.8136363636363637
52,50,2020,2020-10-12,5,5,25.079,NOR,,LAC,W 30-27,*,11,45.0,4.09,0.0,10,8,74.0,9.25,0.0,80.0%,7.40,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,,0,0,0,0,0,0,0,0,58,76%,0,0%,1,3%,11.9,19,0.6263157894736843
