Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
49,Heath Miller\MillHe00,PIT,33,TE,15,15,81,60,74.1%,535,8.9,2,27,6.6,4.0,35.7,0
50,Sammy Watkins\WatkSa00,BUF,22,WR,13,13,96,60,62.5%,1047,17.5,9,63,10.9,4.6,80.5,0
51,Jamison Crowder\CrowJa00,WAS,22,fb/wr,16,6,78,59,75.6%,604,10.2,2,44,7.7,3.7,37.8,4
52,Jacob Tamme\TammJa00,ATL,30,TE,15,8,81,59,72.8%,657,11.1,1,41,8.1,3.9,43.8,0
53,Shane Vereen\VereSh00,NYG,26,,16,0,81,59,72.8%,495,8.4,4,37,6.1,3.7,30.9,1
54,Richard Rodgers\RodgRi00,GNB,23,TE,16,12,85,58,68.2%,510,8.8,8,61,6.0,3.6,31.9,0
55,Rueben Randle\RandRu00,NYG,24,WR,16,16,90,57,63.3%,797,14.0,8,72,8.9,3.6,49.8,0
56,Antonio Gates\GateAn00,SDG,35,te,11,4,85,56,65.9%,630,11.3,5,40,7.4,5.1,57.3,0
57,Darren Sproles*\SproDa00,PHI,32,rb/wr,16,4,83,55,66.3%,388,7.1,1,35,4.7,3.4,24.3,1
58,Coby Fleener\FleeCo00,IND,27,TE/wr,16,11,84,54,64.3%,491,9.1,3,57,5.8,3.4,30.7,0
59,Alshon Jeffery\JeffAl00,CHI,25,WR,9,8,94,54,57.4%,807,14.9,4,50,8.6,6.0,89.7,1
60,Martellus Bennett\BennMa00,CHI,28,TE,11,11,80,53,66.3%,439,8.3,3,24,5.5,4.8,39.9,2
61,Tavon Austin\AustTa00,STL,25,WR,16,15,87,52,59.8%,473,9.1,5,66,5.4,3.3,29.6,2
62,Cole Beasley\BeasCo00,DAL,26,wr,16,3,75,52,69.3%,536,10.3,5,30,7.1,3.3,33.5,2
63,Stefon Diggs\DiggSt00,MIN,22,WR,13,9,84,52,61.9%,720,13.8,4,40,8.6,4.0,55.4,2
64,Tyler Eifert*\EifeTy00,CIN,25,TE,13,12,74,52,70.3%,615,11.8,13,31,8.3,4.0,47.3,0
65,Michael Floyd\FloyMi00,ARI,26,wr,15,6,89,52,58.4%,849,16.3,6,60,9.5,3.5,56.6,0
66,Terrance Williams\WillTe01,DAL,26,WR,16,13,93,52,55.9%,840,16.2,3,42,9.0,3.3,52.5,0
67,Charles Clay\ClayCh00,BUF,26,TE,13,13,77,51,66.2%,528,10.4,3,40,6.9,3.9,40.6,1
