Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Larry Fitzgerald*\FitzLa00,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,33,6.8,6.7,63.9,2
2,Antonio Brown*+\BrowAn04,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,51,8.3,7.1,85.6,0
3,Odell Beckham*\BeckOd00,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,75,8.1,6.3,85.4,3
4,Julian Edelman\EdelJu00,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,77,7.0,6.1,69.1,3
5,Jordy Nelson\NelsJo00,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,60,8.3,6.1,78.6,1
6,Mike Evans*\EvanMi00,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,45,7.6,6.0,82.6,0
7,Doug Baldwin*\BaldDo00,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,59,9.0,5.9,70.5,1
8,Jarvis Landry*\LandJa00,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,71,8.7,5.9,71.0,2
9,Michael Thomas\ThomMi05,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,46,9.4,6.1,75.8,2
10,T.Y. Hilton*\HiltT.00,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,63,9.3,5.7,90.5,0
11,Golden Tate\TateGo00,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,67,8.0,5.7,67.3,2
12,Demaryius Thomas*\ThomDe03,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,55,7.5,5.6,67.7,2
13,Michael Crabtree\CrabMi00,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,6.9,5.6,62.7,2
14,Dennis Pitta\PittDe00,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,30,6.0,5.4,45.6,1
15,Travis Kelce*+\KelcTr00,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,80,9.6,5.3,70.3,0
16,Stefon Diggs\DiggSt00,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,46,8.1,6.5,69.5,0
17,Amari Cooper*\CoopAm00,OAK,22,WR,16,14,132,83,62.9%,1153,13.9,5,64,8.7,5.2,72.1,2
18,Julio Jones*+\JoneJu02,ATL,27,WR,14,14,129,83,64.3%,1409,17.0,6,75,10.9,5.9,100.6,0
19,Kyle Rudolph\RudoKy00,MIN,27,TE,16,16,132,83,62.9%,840,10.1,7,44,6.4,5.2,52.5,0
20,David Johnson*+\JohnDa08,ARI,25,RB,16,16,120,80,66.7%,879,11.0,4,58,7.3,5.0,54.9,5
21,Greg Olsen*\OlseGr00,CAR,31,TE,16,16,129,80,62.0%,1073,13.4,3,78,8.3,5.0,67.1,0
22,Pierre Garcon\GarcPi00,WAS,30,WR,16,16,114,79,69.3%,1041,13.2,3,70,9.1,4.9,65.1,0
23,Emmanuel Sanders*\SandEm00,DEN,29,WR,16,16,137,79,57.7%,1032,13.1,5,64,7.5,4.9,64.5,1
24,Brandin Cooks\CookBr00,NOR,23,WR,16,12,117,78,66.7%,1173,15.0,8,98,10.0,4.9,73.3,1
25,Zach Ertz\ErtzZa00,PHI,26,TE,14,12,106,78,73.6%,816,10.5,4,30,7.7,5.6,58.3,0
26,DeAndre Hopkins\HopkDe00,HOU,24,WR,16,16,151,78,51.7%,954,12.2,4,51,6.3,4.9,59.6,0
27,Terrelle Pryor\PryoTe00,CLE,27,WR,16,15,140,77,55.0%,1007,13.1,4,54,7.2,4.8,62.9,1
28,Davante Adams\AdamDa01,GNB,24,WR,16,15,121,75,62.0%,997,13.3,12,66,8.2,4.7,62.3,2
29,Cole Beasley\BeasCo00,DAL,27,fb/wr,16,6,98,75,76.5%,833,11.1,5,47,8.5,4.7,52.1,0
30,Le'Veon Bell*\BellLe00,PIT,24,RB,12,12,94,75,79.8%,616,8.2,2,32,6.6,6.3,51.3,4
31,Jordan Matthews\MattJo00,PHI,24,WR,14,13,117,73,62.4%,804,11.0,3,54,6.9,5.2,57.4,1
32,Allen Robinson\RobiAl02,JAX,23,WR,16,16,151,73,48.3%,883,12.1,6,42,5.8,4.6,55.2,1
