Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Antonio Brown*+\BrowAn04,PIT,26,WR,16,16,181,129,71.3%,1698,13.2,13,63,9.4,8.1,106.1,2
2,Demaryius Thomas*\ThomDe03,DEN,27,WR,16,16,184,111,60.3%,1619,14.6,11,86,8.8,6.9,101.2,0
3,Julio Jones*\JoneJu02,ATL,25,WR,15,15,163,104,63.8%,1593,15.3,6,79,9.8,6.9,106.2,2
4,Matt Forte\FortMa00,CHI,29,RB,16,16,130,102,78.5%,808,7.9,4,56,6.2,6.4,50.5,2
5,Emmanuel Sanders*\SandEm00,DEN,27,WR,16,16,141,101,71.6%,1404,13.9,9,48,10.0,6.3,87.8,1
6,Golden Tate*\TateGo00,DET,26,WR,16,16,144,99,68.8%,1331,13.4,4,73,9.2,6.2,83.2,1
7,Jordy Nelson*\NelsJo00,GNB,29,WR,16,16,151,98,64.9%,1519,15.5,13,80,10.1,6.1,94.9,0
8,Julian Edelman\EdelJu00,NWE,28,WR,14,13,134,92,68.7%,972,10.6,4,69,7.3,6.6,69.4,5
9,Odell Beckham*\BeckOd00,NYG,22,WR,12,11,130,91,70.0%,1305,14.3,12,80,10.0,7.6,108.8,1
10,Randall Cobb*\CobbRa00,GNB,24,WR,16,16,127,91,71.7%,1287,14.1,12,70,10.1,5.7,80.4,4
11,Martellus Bennett*\BennMa00,CHI,27,TE,16,15,128,90,70.3%,916,10.2,6,37,7.2,5.6,57.3,0
12,Dez Bryant*+\BryaDe01,DAL,26,WR,16,16,136,88,64.7%,1320,15.0,16,68,9.7,5.5,82.5,1
13,Jimmy Graham*\GrahJi00,NOR,28,TE,16,13,125,85,68.0%,889,10.5,10,29,7.1,5.3,55.6,2
14,Alshon Jeffery\JeffAl00,CHI,24,WR,16,16,145,85,58.6%,1133,13.3,10,74,7.8,5.3,70.8,1
15,Andre Johnson\JohnAn02,HOU,33,WR,15,15,146,85,58.2%,936,11.0,3,35,6.4,5.7,62.4,3
16,Jeremy Maclin\MaclJe00,PHI,26,WR,16,16,143,85,59.4%,1318,15.5,10,72,9.2,5.3,82.4,0
17,Jarvis Landry\LandJa00,MIA,22,WR,16,11,112,84,75.0%,758,9.0,5,25,6.8,5.3,47.4,7
18,Greg Olsen*\OlseGr00,CAR,29,TE,16,16,123,84,68.3%,1008,12.0,6,38,8.2,5.3,63.0,1
19,Le'Veon Bell*+\BellLe00,PIT,22,RB,16,16,105,83,79.0%,854,10.3,3,48,8.1,5.2,53.4,0
20,Anquan Boldin\BoldAn00,SFO,34,WR,16,16,130,83,63.8%,1062,12.8,5,76,8.2,5.2,66.4,0
21,Rob Gronkowski*+\GronRo00,NWE,25,TE,15,10,131,82,62.6%,1124,13.7,12,46,8.6,5.5,74.9,0
22,T.Y. Hilton*\HiltT.00,IND,25,WR,15,15,131,82,62.6%,1345,16.4,7,73,10.3,5.5,89.7,3
23,Roddy White\WhitRo00,ATL,33,WR,14,14,125,80,64.0%,921,11.5,7,39,7.4,5.7,65.8,3
24,Steve Smith\SmitSt01,BAL,35,WR,16,16,134,79,59.0%,1065,13.5,6,80,7.9,4.9,66.6,1
25,Keenan Allen\AlleKe00,SDG,22,WR,14,14,121,77,63.6%,783,10.2,4,35,6.5,5.5,55.9,2
26,DeAndre Hopkins\HopkDe00,HOU,22,WR,16,16,127,76,59.8%,1210,15.9,6,76,9.5,4.8,75.6,2
27,Eric Decker\DeckEr00,NYJ,27,WR,15,15,115,74,64.3%,962,13.0,5,74,8.4,4.9,64.1,0
