,L5_AVG_TOUCHES,L10_AVG_TOUCHES,DIFF_AVG_TOUCHES,L5_MED_TOUCHES,L10_MED_TOUCHES,DIFF_MED_TOUCHES,L5_AVG_FANTPTS,L10_AVG_FANTPTS,DIFF_AVG_FANTPTS,L5_MED_FANTPTS,L10_MED_FANTPTS,DIFF_MED_FANTPTS,SPECIAL_SAUCE_V1,SPECIAL_SAUCE_V2,SS_MESHED,EXCESS_L5_AVG_TOUCHES,EXCESS_SS1,EXCESS_SS2
TRAVIS KELCE,8.4,6.7,1.7000000000000002,8.0,8.0,0.0,15.860000000000003,13.14,2.7200000000000024,16.9,16.2,2.7200000000000024,14.500000000000002,16.724999999999998,15.925800000000002,6.724691358024692,11.806275352733689,14.693055555555553
ROBERT TONYAN,3.6,3.9,-0.2999999999999998,4.0,4.5,-0.5,7.359999999999999,8.92,-1.5600000000000005,9.9,8.9,-1.5600000000000005,8.14,9.65,8.302800000000001,1.9246913580246914,5.446275352733687,7.618055555555555
ROB GRONKOWSKI,3.0,3.5,-0.5,2.0,3.5,-1.5,6.9,7.340000000000001,-0.4400000000000004,10.100000000000001,7.65,-0.4400000000000004,7.120000000000001,9.4875,7.3260000000000005,1.3246913580246913,4.426275352733687,7.455555555555556
T.J. HOCKENSON,4.6,4.3,0.2999999999999998,5.0,4.5,0.5,7.06,7.360000000000001,-0.3000000000000016,8.4,7.300000000000001,-0.3000000000000016,7.210000000000001,8.125,7.1478,2.924691358024691,4.516275352733687,6.093055555555555
DARREN WALLER,6.4,5.9,0.5,5.0,5.0,0.0,12.2,9.319999999999999,2.880000000000001,8.2,7.5,2.880000000000001,10.759999999999998,8.024999999999999,8.975999999999999,4.724691358024692,8.066275352733683,5.993055555555554
JONNU SMITH,2.2,2.7,-0.5,2.0,2.5,-0.5,5.5200000000000005,7.2299999999999995,-1.709999999999999,7.5,6.800000000000001,-1.709999999999999,6.375,7.325,6.3096000000000005,0.5246913580246915,3.681275352733686,5.293055555555556
C.J. UZOMAH,3.6,2.6,1.0,4.0,3.0,1.0,6.74,3.97,2.77,8.5,2.65,2.77,5.355,7.0375,3.9732000000000003,1.9246913580246914,2.6612753527336865,5.005555555555555
GEORGE KITTLE,6.8,7.1,-0.2999999999999998,5.0,5.5,-0.5,11.16,11.040000000000001,0.11999999999999922,5.5,11.0,0.11999999999999922,11.100000000000001,6.875,10.942800000000002,5.124691358024691,8.406275352733687,4.843055555555555
ERIC EBRON,4.6,4.5,0.09999999999999964,4.0,4.5,-0.5,6.76,6.4,0.35999999999999943,6.800000000000001,6.1000000000000005,0.35999999999999943,6.58,6.625000000000001,6.2568,2.924691358024691,3.886275352733686,4.593055555555557
DALLAS GOEDERT,4.4,4.8,-0.39999999999999947,5.0,4.5,0.5,7.720000000000001,8.0,-0.27999999999999936,6.6000000000000005,6.550000000000001,-0.27999999999999936,7.86,6.5875,6.870600000000001,2.7246913580246916,5.166275352733686,4.555555555555555
EVAN ENGRAM,4.6,4.5,0.09999999999999964,5.0,4.5,0.5,6.6800000000000015,5.550000000000001,1.1300000000000008,7.000000000000001,4.2,1.1300000000000008,6.115000000000001,6.300000000000001,4.976400000000001,2.924691358024691,3.421275352733687,4.268055555555556
LOGAN THOMAS,4.8,3.7,1.0999999999999996,4.0,3.5,0.5,6.859999999999999,6.08,0.7799999999999994,6.6000000000000005,4.8500000000000005,0.7799999999999994,6.47,6.1625000000000005,5.4648,3.124691358024691,3.776275352733686,4.130555555555556
HUNTER HENRY,4.0,3.8,0.20000000000000018,4.0,4.0,0.0,6.0600000000000005,5.3100000000000005,0.75,6.7,4.45,0.75,5.6850000000000005,6.1375,4.936800000000001,2.3246913580246913,2.9912753527336866,4.105555555555556
RICHARD RODGERS,1.8,2.4,-0.5999999999999999,2.0,2.5,-0.5,5.62,4.65,0.9699999999999998,6.0,3.3,0.9699999999999998,5.135,5.325,4.0326,0.12469135802469133,2.441275352733686,3.2930555555555556
ALBERT OKWUEGBUNAM,2.75,2.75,0.0,1.5,1.5,0.0,4.5249999999999995,4.5249999999999995,0.0,5.25,5.25,0.0,4.5249999999999995,5.25,4.9582500000000005,1.0746913580246913,1.8312753527336856,3.2180555555555554
HAYDEN HURST,3.4,3.4,0.0,4.0,4.0,0.0,3.46,4.78,-1.3200000000000003,4.800000000000001,5.25,-1.3200000000000003,4.12,4.9125000000000005,4.606800000000001,1.7246913580246912,1.4262753527336862,2.880555555555556
O.J. HOWARD,2.2,2.8,-0.5999999999999996,3.0,3.0,0.0,5.32,5.0200000000000005,0.2999999999999998,4.9,4.75,0.2999999999999998,5.17,4.862500000000001,4.890600000000001,0.5246913580246915,2.476275352733686,2.830555555555556
DALTON SCHULTZ,4.6,3.8,0.7999999999999998,4.0,4.0,0.0,5.08,4.970000000000001,0.10999999999999943,4.800000000000001,4.6000000000000005,0.10999999999999943,5.025,4.750000000000001,4.712400000000001,2.924691358024691,2.3312753527336865,2.7180555555555563
NOAH FANT,3.0,3.9,-0.8999999999999999,3.0,4.0,-1.0,3.7600000000000002,4.71,-0.9499999999999997,4.5,4.550000000000001,-0.9499999999999997,4.235,4.5125,4.2438,1.3246913580246913,1.5412753527336864,2.4805555555555556
IRV SMITH JR.,2.6,1.6,1.0,2.0,1.0,1.0,5.76,3.13,2.63,5.5,1.35,2.63,4.445,4.4625,2.7918000000000003,0.9246913580246914,1.7512753527336864,2.430555555555556
MIKE GESICKI,4.0,2.8,1.2000000000000002,3.0,2.0,1.0,7.359999999999999,5.57,1.7899999999999991,4.3,4.25,1.7899999999999991,6.465,4.2875,5.2338000000000005,2.3246913580246913,3.771275352733686,2.255555555555555
TYLER EIFERT,3.4,2.7,0.6999999999999997,3.0,2.5,0.5,4.32,3.6100000000000003,0.71,4.5,2.7,0.71,3.9650000000000003,4.05,3.2076000000000002,1.7246913580246912,1.2712753527336864,2.0180555555555553
KYLE RUDOLPH,3.4,2.6,0.7999999999999998,3.0,2.5,0.5,3.5800000000000005,3.46,0.12000000000000055,4.0,3.4000000000000004,0.12000000000000055,3.5200000000000005,3.85,3.4254000000000007,1.7246913580246912,0.8262753527336866,1.8180555555555555
MARK ANDREWS,4.0,3.8,0.20000000000000018,3.0,3.0,0.0,5.840000000000001,8.14,-2.3,3.2,4.65,-2.3,6.99,3.5625000000000004,4.996200000000001,2.3246913580246913,4.296275352733686,1.530555555555556
ZACH ERTZ,3.6,4.4,-0.8000000000000003,4.0,4.0,0.0,2.98,6.29,-3.31,3.1,3.75,-3.31,4.635,3.2625,3.4584,1.9246913580246914,1.941275352733686,1.2305555555555556
CAMERON BRATE,2.4,2.0,0.3999999999999999,3.0,1.5,1.5,3.66,3.0100000000000002,0.6499999999999999,3.4000000000000004,2.8500000000000005,0.6499999999999999,3.335,3.2625,3.088800000000001,0.7246913580246912,0.6412753527336861,1.2305555555555556
AUSTIN HOOPER,2.6,3.0,-0.3999999999999999,2.0,2.5,-0.5,3.8600000000000008,4.0600000000000005,-0.19999999999999973,3.3000000000000003,2.9000000000000004,-0.19999999999999973,3.960000000000001,3.2,3.1878000000000006,0.9246913580246914,1.266275352733687,1.1680555555555556
DAN ARNOLD,1.8,1.6,0.19999999999999996,1.0,1.0,0.0,6.24,4.19,2.05,3.4000000000000004,2.5500000000000003,2.05,5.215,3.1875000000000004,3.7422000000000004,0.12469135802469133,2.521275352733686,1.155555555555556
MARCEDES LEWIS,1.0,0.8,0.19999999999999996,1.0,1.0,0.0,3.62,2.72,0.8999999999999999,3.6,0.8500000000000001,0.8999999999999999,3.17,2.9125,1.7556000000000003,-0.6753086419753087,0.47627535273368604,0.8805555555555555
GERALD EVERETT,3.8,3.4,0.3999999999999999,4.0,3.5,0.5,2.9200000000000004,4.37,-1.4499999999999997,2.7,3.3000000000000003,-1.4499999999999997,3.6450000000000005,2.8500000000000005,3.1416000000000004,2.124691358024691,0.9512753527336866,0.818055555555556
TREY BURTON,2.0,2.6,-0.6000000000000001,2.0,2.5,-0.5,4.5600000000000005,5.270000000000001,-0.7100000000000009,2.4000000000000004,2.8500000000000005,-0.7100000000000009,4.915000000000001,2.5125,3.3858000000000006,0.3246913580246913,2.221275352733687,0.4805555555555556
ROSS DWELLEY,1.6,1.2,0.40000000000000013,1.0,1.0,0.0,3.6400000000000006,2.31,1.3300000000000005,2.9000000000000004,1.25,1.3300000000000005,2.9750000000000005,2.4875000000000003,2.0262000000000002,-0.07530864197530862,0.28127535273368665,0.4555555555555557
JORDAN REED,2.6,3.2,-0.6000000000000001,2.0,2.5,-0.5,3.96,4.76,-0.7999999999999998,2.3000000000000003,2.2,-0.7999999999999998,4.359999999999999,2.2750000000000004,2.7588,0.9246913580246914,1.6662753527336855,0.2430555555555558
TYLER HIGBEE,3.0,3.0,0.0,3.0,3.0,0.0,3.6799999999999997,5.459999999999999,-1.7799999999999994,2.0,3.0,-1.7799999999999994,4.569999999999999,2.25,3.1944,1.3246913580246913,1.8762753527336855,0.21805555555555545
MO ALIE-COX,2.6,2.5,0.10000000000000009,3.0,3.0,0.0,2.0000000000000004,4.3100000000000005,-2.31,1.9000000000000001,3.0,-2.31,3.1550000000000002,2.175,2.64,0.9246913580246914,0.46127535273368636,0.14305555555555527
DREW SAMPLE,2.8,2.5,0.2999999999999998,2.0,2.0,0.0,2.14,2.29,-0.1499999999999999,2.0,2.1,-0.1499999999999999,2.215,2.025,2.0922,1.1246913580246911,-0.47872464726631403,-0.006944444444444642
ANTHONY FIRKSER,2.6,2.8,-0.19999999999999973,3.0,2.5,0.5,2.16,3.4299999999999997,-1.2699999999999996,1.9000000000000001,1.9000000000000001,-1.2699999999999996,2.795,1.9000000000000001,1.9668000000000003,0.9246913580246914,0.10127535273368604,-0.13194444444444442
DURHAM SMYTHE,1.6,1.4,0.20000000000000018,2.0,1.5,0.5,2.46,2.4,0.06000000000000005,1.9000000000000001,1.75,0.06000000000000005,2.4299999999999997,1.8625,1.9668,-0.07530864197530862,-0.26372464726631417,-0.1694444444444445
JAMES O'SHAUGHNESSY,2.0,2.1,-0.10000000000000009,2.0,2.5,-0.5,1.9800000000000004,2.14,-0.1599999999999997,1.7000000000000002,2.3,-0.1599999999999997,2.0600000000000005,1.85,2.1714,0.3246913580246913,-0.6337246472663134,-0.18194444444444446
GREG OLSEN,1.6,2.3,-0.6999999999999997,2.0,2.0,0.0,1.6800000000000002,2.8400000000000003,-1.1600000000000001,1.8,2.0,-1.1600000000000001,2.2600000000000002,1.85,1.8744,-0.07530864197530862,-0.43372464726631366,-0.18194444444444446
JIMMY GRAHAM,2.2,3.4,-1.1999999999999997,2.0,3.5,-1.5,3.2,5.3100000000000005,-2.1100000000000003,1.3,3.25,-2.1100000000000003,4.255000000000001,1.7875,3.201,0.5246913580246915,1.561275352733687,-0.24444444444444446
BLAKE JARWIN,2.0,2.1,-0.10000000000000009,1.0,2.0,-1.0,2.3200000000000003,3.17,-0.8499999999999996,1.4000000000000001,2.6,-0.8499999999999996,2.745,1.7000000000000002,2.4816000000000003,0.3246913580246913,0.05127535273368622,-0.3319444444444444
JORDAN AKINS,2.2,3.0,-0.7999999999999998,2.0,2.0,0.0,2.4200000000000004,4.03,-1.6099999999999999,1.0,3.7,-1.6099999999999999,3.2250000000000005,1.675,3.2406000000000006,0.5246913580246915,0.5312753527336866,-0.3569444444444445
