,Mkt-RF,SMB,HML,RMW,CMA,P/C Ratio,CONST,pval_Mkt-RF,pval_SMB,pval_HML,pval_RMW,pval_CMA,pval_P/C Ratio,pval_CONST,Start,End,DataPoints
A,1.1848811963821761,-0.007230941088860212,-0.28525286148196005,-0.2916442768941319,0.11929441092290964,0.4499668753861569,-0.28243468673423155,1.3059953850875386e-154,0.9012185106668111,2.2563675809146573e-05,0.0011431429858380997,0.2918711051316928,0.1819038730124766,0.2050012376761536,2014-10-03,2019-10-04,1260
AAL,1.352073615147345,0.48557324874452795,0.17393027619539947,0.9704367616126041,-0.4562826854382006,-1.1520394110720822,0.7005012722600563,3.056604342546815e-68,1.0501190635655312e-05,0.168873424457606,1.0722574708956941e-08,0.032503047567968894,0.06977438434524404,0.095320181187654,2014-10-03,2019-10-04,1260
AAP,0.8519537168977694,0.27007911711565563,0.034118436452593194,0.6265057198637163,0.5049970361230738,-1.0068449039883502,0.6578444497793559,1.3382039190942281e-33,0.00900318706139698,0.7741202513533841,8.210630968864096e-05,0.011915641778489264,0.09202521277102962,0.09589686116169854,2014-10-03,2019-10-04,1260
AAPL,1.0895834038488244,-0.1645047145337959,-0.11258980533214227,0.5043337009954723,-1.1270715289273323,-0.38542133582250226,0.2712390367086883,1.659545874775852e-125,0.007366749970757148,0.11080641829450066,1.0005527024701328e-07,1.365176749899427e-20,0.2771236901788866,0.24733968171849519,2014-10-03,2019-10-04,1260
ABBV,0.9832740358241489,-0.042202491875874285,-0.5385150816241524,-0.3235716195834432,0.12048610439512043,0.07891446467589505,-0.04844159933580494,1.9326812754896177e-57,0.6320636409693365,1.306967626564076e-07,0.016952545657772218,0.48158343435727835,0.8769752405188176,0.885709313096507,2014-10-03,2019-10-04,1260
ABC,0.7822663722273326,0.1728079336457306,-0.287072230246999,0.04323466395595136,0.4402142052809653,-0.43865484001035804,0.2761197539069681,2.710828027214645e-41,0.040998759014752056,0.0032184631866922376,0.7390112557748727,0.0073947637778614995,0.3694824145087229,0.3928348546239647,2014-10-03,2019-10-04,1260
ABMD,1.0549870941126076,0.6281971140235952,-0.8870745901737132,-0.8668046892991075,-0.6280864775696853,0.3247782468739134,-0.07251680449038256,6.115114745463029e-27,1.5090978814564148e-05,1.1720076693143622e-07,0.00010001358925418995,0.02550778732862596,0.6978402143665937,0.8956780787406445,2014-10-03,2019-10-04,1260
ABT,1.0584882626649241,-0.18634094044081684,-0.46324875339983795,-0.13057079532603783,0.3052220811784956,-0.07701586628891155,0.06859202717685883,6.350136160130607e-157,0.00031021264334387164,1.2031482236008249e-14,0.0991769283661158,0.002336745525887416,0.7961100662572975,0.7277836929323303,2014-10-03,2019-10-04,1260
ACN,1.0635813614046272,-0.28011299083558033,-0.18369036254353033,0.10038191914837524,0.08244027216451971,0.2691016889162563,-0.1433013134339654,1.9638137411494043e-184,2.0601218629798666e-09,0.0006031531332383018,0.15916521990165594,0.3604697971768849,0.3161601136002269,0.4194085987176679,2014-10-03,2019-10-04,1260
ADBE,1.199720266532523,-0.18915532214605538,-0.6578669044029118,-0.2786360778024508,-0.5903751964948606,0.5012132191404683,-0.2705512632896214,3.9335478815323665e-137,0.0030747597521753904,1.1506080777505994e-18,0.004517921632143004,2.100071526431791e-06,0.1744718273848818,0.26747642091361346,2014-10-03,2019-10-04,1260
ADI,1.2236695449561714,0.2134754593356833,-0.1280733935985376,0.053384731990075845,-0.27042318863841436,0.34585076448405944,-0.19073973857797202,2.7006761454673857e-117,0.0030097357598305864,0.12162490269368038,0.6284659350866517,0.052769519658129115,0.40522257077158785,0.4874571076775648,2014-10-03,2019-10-04,1260
ADM,0.9393229489304226,-0.08131305757118347,0.21221569653043773,0.016322093548766098,0.5484849040028404,-0.8517064582128125,0.527264955624307,2.8596185035735585e-87,0.21815412682347804,0.005301294828173684,0.8720968067042137,2.022994506088125e-05,0.025844832520175522,0.036885219308411196,2014-10-03,2019-10-04,1260
ADP,1.054433530445619,-0.2572193814151098,-0.18550859728877764,0.3130664213100231,0.12410699255016965,0.4696744253389919,-0.2818651953525122,8.981749064479608e-173,1.064094164549308e-07,0.0008341111930523981,2.4306511754748008e-05,0.18437544154726995,0.09168189684826997,0.1257342328708219,2014-10-03,2019-10-04,1260
ADSK,1.3209074208875817,0.21164679873544193,-0.6320174558900553,-0.566397522803433,-0.22604910502158976,-0.7791612132748975,0.5405593160724286,9.060243479340947e-93,0.018164928659135233,1.1382396699633743e-09,4.011389778246254e-05,0.1936211096492027,0.1324466918851391,0.11439389854550645,2014-10-03,2019-10-04,1260
AEE,0.5101234009455484,-0.351271881852113,-0.4067990451320388,0.38081918118273894,0.8092695587637966,0.8427508825028386,-0.5054714368718445,2.0032356316914652e-40,4.083964470771893e-10,3.233740210800486e-10,9.445141262286728e-06,1.4580366121362072e-13,0.009065887474327154,0.017883245254860482,2014-10-03,2019-10-04,1260
AEP,0.4434617213898992,-0.41917332847690125,-0.39849164654147345,0.45163778346923056,0.789163592019622,0.618193531641871,-0.36822849196969853,8.815973259569647e-35,4.06989642978905e-15,7.536062554544057e-11,2.9680788394548802e-08,2.595814828051372e-14,0.04281416941249632,0.06796880785082549,2014-10-03,2019-10-04,1260
AES,0.8960121582202462,-0.1306267871617727,-0.14402643664908427,0.1729384661476848,0.8619239012798442,-0.4499867820634727,0.2952820763272528,2.2563232349924774e-55,0.11137174734032315,0.12731280358348993,0.16989366742020115,7.453326624951379e-08,0.3428721441913857,0.34647563921865077,2014-10-03,2019-10-04,1260
AFL,0.8670479732317316,-0.23237394134678527,0.38577860521845414,-0.01778895468106146,0.16349222599994134,0.6731196321508047,-0.41045762481611314,5.142712441247495e-159,3.392231009432521e-08,2.6011231211583225e-15,0.7819244585058064,0.04442574077141751,0.00548541869962123,0.01040740276768008,2014-10-03,2019-10-04,1260
AIG,0.9301877535364121,-0.03864122952674369,0.7360173577373832,-0.374892103815868,-0.34287822705349436,0.012551582507056569,-0.015942451061001228,1.6332386532786137e-111,0.4928671939344542,1.7480645798053027e-28,1.5874277956708574e-05,0.0017662331200946322,0.9692771067057384,0.9410142298571611,2014-10-03,2019-10-04,1260
AIV,0.6659399825772659,-0.22703636571043884,-0.4541945633139158,0.25011315916483123,0.6541641124382673,0.8001627519510177,-0.499975347297314,4.7717360126939546e-57,0.00015812857619366413,6.680201929330893e-11,0.0066553077408880385,2.3329019184418e-08,0.021102296581931093,0.02926936799646443,2014-10-03,2019-10-04,1260
AIZ,0.9074842119385347,-0.0125958453630129,0.4679360001614088,-0.027920499572285096,0.1712503568111046,0.9059344571717348,-0.54933947523266,1.2975613237911482e-87,0.8430671796212853,2.339885599974859e-10,0.7750890982554886,0.16598805517937215,0.013940135978736046,0.02409363279978769,2014-10-03,2019-10-04,1260
AJG,0.8244295111303275,-0.10555784677883691,0.15114198283354352,0.11748584759006284,0.12025011898566546,0.27241605171952643,-0.1420866029265518,8.10784301304976e-149,0.011205836679365425,0.0016210872575692324,0.06590529556308992,0.1365567123350273,0.25730577252311304,0.37144417214215875,2014-10-03,2019-10-04,1260
AKAM,1.1479651761189418,0.05164749649947763,-0.2772712757578858,0.06030920895626578,-0.12401244057744347,-0.4075635344973549,0.26649309239042906,3.8363397530313454e-61,0.602943696488828,0.015396437905663973,0.6924759847362163,0.5202135105646961,0.4779207657566784,0.48276302274649263,2014-10-03,2019-10-04,1260
ALB,1.2611136827351177,0.17193063465304265,0.14857761986867654,-0.008808113529727754,0.4017298560096437,-0.576621338444417,0.3663184828101317,4.590895151200937e-79,0.0674455329872038,0.16973406785071057,0.9513275949221129,0.027864048058516222,0.2887707418856168,0.3080228784169716,2014-10-03,2019-10-04,1260
ALGN,1.237056871121725,0.4076277597055659,-0.836434245637185,-0.12971250185435249,-0.4363856313190701,0.3211917008368401,-0.14573724285829442,2.1944981048845012e-57,0.000247914265261008,8.374962877255508e-11,0.4465484022611994,0.0430272174856977,0.6167108755353338,0.7312058234422175,2014-10-03,2019-10-04,1260
ALK,1.0552256554945627,0.4263896645024349,-0.05028829868562451,0.8013972306997117,-0.10874356504227689,0.20635243054454788,-0.12996630157837974,1.1144356582471313e-59,4.467370998685065e-06,0.6369223917745368,2.1019371761934846e-08,0.5452101437862541,0.6998521485851661,0.7134166360285683,2014-10-03,2019-10-04,1260
ALL,0.8299319162774024,-0.2208801629780997,0.4086557025664353,0.15772155971442167,0.02394182001896203,0.6860154936357875,-0.4221395791339748,3.1260349897166558e-121,4.047708456859154e-06,1.8678588346976116e-13,0.03155909272628803,0.7961825065855769,0.01305305541144805,0.020842058222287213,2014-10-03,2019-10-04,1260
ALLE,0.9940983019955478,0.09010706617512018,-0.14957199908144675,0.062129693363344285,0.24893291808483564,0.06235117654466572,-0.012388833867273102,3.761296495110425e-130,0.09939030305229789,0.017573712344717163,0.45924039908155445,0.019159513934582782,0.8436384693675025,0.9527294301725135,2014-10-03,2019-10-04,1260
ALXN,1.2188660587099178,0.006863873690467925,-0.6347498799428741,-1.2173260614866006,-0.40883885714619495,0.49263057390549736,-0.39602607623200725,1.6833130256805056e-56,0.9503729822628036,6.53558690816113e-07,1.1229256281689482e-12,0.0564938604522265,0.43999474403084626,0.3477743031908975,2014-10-03,2019-10-04,1260
AMAT,1.4074629252056725,0.23454477787699807,-0.19934070000075,-0.03301575881809182,-0.45693057631288314,0.8510675399881038,-0.5236275900815387,6.111255771896384e-107,0.007421750429882666,0.04795671801797514,0.8058897526297609,0.007246893166873558,0.09275051944931728,0.11768531283367546,2014-10-03,2019-10-04,1260
AMCR,0.036612614842589944,-0.04025038035636266,-0.033257924493912606,0.106864210010025,0.24401904593177792,-1.079686505596606,0.7174777660906684,0.44037514456212656,0.5737492382528566,0.6863967814856147,0.3308881215723243,0.0792864914616003,0.009174132898024755,0.00882233018278294,2014-10-03,2019-10-04,1260
AMD,1.68217314270923,0.85554446475813,-0.9704336918709329,-0.12069602962460507,0.6852823890058125,-2.3202173471468432,1.6911564510828032,1.5271243726081257e-32,3.989228885169679e-05,5.1681208261984625e-05,0.7049749973785189,0.08934823037901338,0.05345114922172092,0.03326729113764662,2014-10-03,2019-10-04,1260
AME,1.1246894626760893,0.12013486568983595,0.1910136221097691,0.11030816007296279,0.26030633707371975,-0.0064498586069334785,0.018607425870607985,2.1444143579680904e-198,0.010073355759440012,0.00038570710836261825,0.1236214420585622,0.004108510182871041,0.9809183300567895,0.91687669475723,2014-10-03,2019-10-04,1260
