,Mkt-RF,SMB,HML,RMW,CMA,P/C Ratio,CONST,pval_Mkt-RF,pval_SMB,pval_HML,pval_RMW,pval_CMA,pval_P/C Ratio,pval_CONST,Start,End,DataPoints
A,-0.0674674100726584,-0.04738240567190227,0.08770340384724347,0.10384888832567056,-0.2972614550002152,0.06777929611465129,0.016899599372480874,0.22507088063658498,0.5716073934442708,0.3629402673746476,0.4193164324111879,0.06779195363221018,0.8886878488224873,0.9579005968591237,2014-10-03,2019-10-03,1259
AAL,0.06749010467259667,0.28414185622024124,-0.14196608358267418,0.20262955085785156,0.283836889391566,-0.27514532324421315,0.17836730571745543,0.43930035098184583,0.030805377279814125,0.3480801801950695,0.31539062677576307,0.2663000587763263,0.7173408927584475,0.7225958768480918,2014-10-03,2019-10-03,1259
AAP,-0.09827636279921538,0.05523398983345446,0.1791448803939779,-0.05156974833956298,-0.44557376971638474,0.39281458975313754,-0.22254430937898298,0.18644880294928384,0.6219871629354663,0.16480135128941872,0.7642674943932328,0.04070928129680604,0.5442239881474271,0.6032651125353324,2014-10-03,2019-10-03,1259
AAPL,-0.0780827631991205,-0.06250436331748363,-0.12297415851461817,-0.11298540542650835,-0.11704089496754426,0.14848821700517675,-0.01600289927581131,0.18663181077510443,0.4827425516216809,0.2302266774718737,0.40852468799172836,0.4985309333947948,0.7730235331648503,0.9624974658128467,2014-10-03,2019-10-03,1259
ABBV,-0.04911484445742704,0.0003215830737765121,-0.04843937337765417,0.0008750143086564618,-0.15824885628670554,-0.8491943675118314,0.6023889519319268,0.4727228415963145,0.9975096578917545,0.6828909522705982,0.9955858331309606,0.42905655523576347,0.1541762511899308,0.12629182792319185,2014-10-03,2019-10-03,1259
ABC,0.09360495199942624,0.02884834597870693,-0.24581317805614636,-0.10169469622253999,-0.031231172462402326,0.0038266635363623167,0.01030234230603928,0.12958424376937921,0.7563908050469681,0.021753637997754118,0.4762555697451617,0.8626953054575828,0.9943212007520507,0.9768765256436236,2014-10-03,2019-10-03,1259
ABMD,-0.0035151457387376916,-0.05938925891729829,0.046095225821836214,0.20558641834548377,-0.39187391800542204,0.00890652052673107,0.18139030947422752,0.9742967614365743,0.7178474721873624,0.8074564448666203,0.4152178992337714,0.21966881956910486,0.9925218341760806,0.7727847747807586,2014-10-03,2019-10-03,1259
ABT,0.018228812162761517,-0.03227696026987925,-0.06509107468091938,0.12623250278680173,-0.21371119664500615,0.18633908329462193,-0.059940909958686006,0.7126901135387335,0.6651482236259305,0.4482066294201589,0.27026237635864725,0.14018380269693373,0.6656194960732602,0.8334399935973209,2014-10-03,2019-10-03,1259
ACN,-0.035287983484027965,-0.027159994373147305,-0.033261913690372645,0.02470085659503465,-0.05064959913682713,0.4701514753244391,-0.22643785890813573,0.4461608595622434,0.6970870040568595,0.6786962428013728,0.8176107897279818,0.7085525998877118,0.2439647961504745,0.3959109660931832,2014-10-03,2019-10-03,1259
ADBE,-0.11855973876746997,0.11714418349606716,-0.11618684428499587,0.0872781510979247,-0.0706806866428027,-0.1410382749117628,0.216119533722328,0.06146206800939642,0.21979493517735524,0.2902120401311589,0.5513784654978477,0.7029418167725506,0.7982650165506584,0.5535786724064296,2014-10-03,2019-10-03,1259
ADI,-0.05079443001134368,0.048599107967715896,0.08346167600476687,0.16969591442977547,-0.1549320966805669,-0.2033158608616713,0.2231884664833691,0.4255986804044539,0.6128152537394755,0.45015512180958717,0.2497916864382122,0.4061537845883615,0.714232391494652,0.5431813546278926,2014-10-03,2019-10-03,1259
ADM,-0.0332203356160304,0.0005700447853995386,0.030957786474360472,-0.10413725928742106,-0.13940298076006308,-0.354838246164814,0.2331192183061836,0.5381516685968797,0.9944047874902286,0.7406975752263525,0.40404281307491163,0.3772663664353667,0.45030894983095837,0.45313555694562,2014-10-03,2019-10-03,1259
ADP,-0.034596364155141245,0.04247854722943356,-0.07298773411507826,-0.03165890631518982,0.12138350756125461,0.1339316778903774,-0.013171615757177537,0.4543794853169376,0.5420095509245669,0.36262970261395977,0.7671782889441563,0.3696210409075582,0.739481069828623,0.9605441993551194,2014-10-03,2019-10-03,1259
ADSK,-0.08991900489438204,0.11438852255250914,-0.05857012538344439,-0.03627549688703536,-0.2914201567065434,-0.958956792750093,0.7202611458883004,0.2552805800089075,0.3366945678389439,0.6689998063410559,0.8426496890131328,0.20760441925718992,0.1637070728145462,0.1136206378696156,2014-10-03,2019-10-03,1259
AEE,0.002242811835840696,0.006443819959012504,0.03605534975533499,0.11387405445448007,-0.14869552452558096,0.30700915411075863,-0.1300002735535592,0.9561365608780515,0.9164566517076744,0.6100461268963407,0.22734052662535328,0.2127347248033012,0.3874399090058206,0.5798331686050624,2014-10-03,2019-10-03,1259
AEP,0.004169520602716186,-0.06764555764596035,0.021685330812127583,0.009034861396113668,-0.18279698285115883,0.5824284389923918,-0.32175925723755705,0.9141279131855041,0.2456481402834142,0.7463216384963237,0.9195185813800206,0.1062848721644039,0.08393034420190162,0.14858712030639906,2014-10-03,2019-10-03,1259
AES,0.02940443953568922,-0.07082543227384548,-0.0023420799458093045,0.17725852210635848,-0.11584285984942978,-0.30120724522451126,0.2279654671717567,0.6316445978606888,0.44340031866275487,0.9824262553475402,0.21152626329808039,0.5185569234333003,0.5728870979419295,0.5186363764411075,2014-10-03,2019-10-03,1259
AFL,0.029089103268653247,0.023304785770199146,-0.03595818298261414,-0.04745816871141678,-0.06808432353384444,0.551752817908349,-0.3047209229084011,0.4588044712774506,0.6935811302571603,0.5973235360106137,0.6012094335732112,0.5533783511702277,0.10683621503779928,0.17786331091771201,2014-10-03,2019-10-03,1259
AIG,-0.015839713486818403,0.032509086663839594,-0.0826058729082915,-0.1555459687985402,-0.10252759121156825,-0.022675535887032215,0.02989683304887252,0.7555615434785417,0.6714803419701625,0.3490956462973236,0.18632854638473695,0.49098811035277645,0.9591923102649977,0.9187200761060095,2014-10-03,2019-10-03,1259
AIV,-0.03781236829823023,-0.0997735864653006,-0.049790989034337194,-0.14540508671207758,-0.2528006629394637,0.3462537536714288,-0.1713226939147551,0.3972570608167695,0.13826425642717308,0.5202095256917398,0.15934098114545836,0.053188628953679144,0.373487740323872,0.5053281495157763,2014-10-03,2019-10-03,1259
AIZ,-0.015656789854641483,0.1549720339443211,-0.13058307580718934,-0.05855012705953684,0.08775977416812052,0.36112421131624484,-0.16701015038490968,0.7605645843848339,0.045427528060447406,0.1427943712553408,0.6221734116544085,0.5593278038503948,0.4197368369549619,0.5724165075575212,2014-10-03,2019-10-03,1259
AJG,0.04502277301309073,0.01718440512110081,-0.09790219186014687,-0.013499594186822382,-0.10142648715299975,0.2246016121154948,-0.08489006066930505,0.23369102688588606,0.7627984721584644,0.13530456726271103,0.8772537893846402,0.35906417712534455,0.495110296690914,0.6964976612961407,2014-10-03,2019-10-03,1259
AKAM,-0.04240418932597026,-0.0023120791508924755,0.07443997581706026,0.1895928767376476,-0.38735383548053803,-0.14634124600318035,0.14466813849987636,0.5825965290492796,0.9841287425255034,0.5778553470124481,0.2880512893555042,0.08631372776131016,0.8276086320134666,0.7446975104073807,2014-10-03,2019-10-03,1259
ALB,0.1381071252613538,0.03576346800460345,0.00028925260564295965,0.1540046830643518,-0.17077422937795103,0.7988408380068246,-0.49780087406747264,0.06652101048008074,0.75229625073269,0.9982301144956187,0.3760292691471484,0.4377594559650626,0.2228559796449706,0.2505336628387424,2014-10-03,2019-10-03,1259
ALGN,-0.034460690958934476,-0.09992247331708833,0.08468613248480529,0.17302556170319355,-0.7257186451906396,-0.8295189415189688,0.6671394467255438,0.6983894525592287,0.4558043394226782,0.5828232617114291,0.40022415862783756,0.005350704770911484,0.2843172589480014,0.19278741204732838,2014-10-03,2019-10-03,1259
ALK,-0.08589269847354114,0.12895615225691628,-0.17917079130687275,0.06535671355287892,0.0009917340851733868,-0.37072284505807285,0.29290047361562876,0.22673396534218393,0.22831500402132812,0.1458626137262221,0.6907454846130643,0.9961923411172271,0.5490851670880629,0.47398662747026754,2014-10-03,2019-10-03,1259
