,0,1,2,3,4
Quarterbacks,Justin Herbert,Tyrod Taylor,,,
Running Backs,Justin Jackson,Joshua Kelley,Austin Ekeler,Kalen Ballage,
Wide Receivers,Keenan Allen,Mike Williams,Tyron Johnson,Jalen Guyton,K.J. Hill
Tight Ends,Hunter Henry,,,,
