,0,1,2,3,4,5
Quarterbacks,Nick Foles,Mitchell Trubisky,,,,
Running Backs,David Montgomery,Ryan Nall,,,,
Wide Receivers,Allen Robinson II,Anthony Miller,Darnell Mooney,Cordarrelle Patterson,Javon Wims,Ted Ginn Jr.
Tight Ends,Jimmy Graham,Demetrius Harris,Cole Kmet,J.P. Holtz,,
