,0,1,2,3,4
Quarterbacks,Russell Wilson,,,,
Running Backs,Chris Carson,Carlos Hyde,Rashaad Penny,Travis Homer,DeeJay Dallas
Wide Receivers,D.K. Metcalf,Tyler Lockett,Josh Gordon,David Moore,Phillip Dorsett II
Tight Ends,Greg Olsen,Will Dissly,,,
