,0,1,2,3
Quarterbacks,Derek Carr,,,
Running Backs,Josh Jacobs,Jalen Richard,Devontae Booker,
Wide Receivers,Henry Ruggs III,Hunter Renfrow,Nelson Agholor,Bryan Edwards
Tight Ends,Darren Waller,,,
