,0,1,2,3,4,5
Quarterbacks,Josh Allen,,,,,
Running Backs,Devin Singletary,Zack Moss,T.J. Yeldon,Reggie Gilliam,Taiwan Jones,
Wide Receivers,Stefon Diggs,John Brown,Cole Beasley,Gabriel Davis,Isaiah McKenzie,Andre Roberts
Tight Ends,Tyler Kroft,Lee Smith,Dawson Knox,,,
