,0,1,2,3,4,5
Quarterbacks,Kyle Allen,Alex Smith,Dwayne Haskins,,,
Running Backs,Antonio Gibson,J.D. McKissic,Peyton Barber,Bryce Love,,
Wide Receivers,Terry McLaurin,Dontrelle Inman,Isaiah Wright,Antonio Gandy-Golden,Cam Sims,Steven Sims
Tight Ends,Logan Thomas,Temarrick Hemingway,Jeremy Sprinkle,,,
