,0,1,2,3,4,5,6
Quarterbacks,Matt Ryan,,,,,,
Running Backs,Todd Gurley II,Brian Hill,Ito Smith,Keith Smith,Qadree Ollison,,
Wide Receivers,Calvin Ridley,Julio Jones,Russell Gage,Olamide Zaccheaus,Christian Blake,Brandon Powell,Laquon Treadwell
Tight Ends,Hayden Hurst,Luke Stocker,Jaeden Graham,,,,
