,0,1,2,3,4
Quarterbacks,Kirk Cousins,,,,
Running Backs,Alexander Mattison,Mike Boone,Ameer Abdullah,C.J. Ham,Dalvin Cook
Wide Receivers,Adam Thielen,Justin Jefferson,Olabisi Johnson,Chad Beebe,Tajae Sharpe
Tight Ends,Irv Smith Jr.,Kyle Rudolph,Tyler Conklin,,
