,0,1,2,3,4
Quarterbacks,Matthew Stafford,,,,
Running Backs,Adrian Peterson,D'Andre Swift,Kerryon Johnson,Bo Scarbrough,
Wide Receivers,Kenny Golladay,Marvin Jones Jr.,Danny Amendola,Marvin Hall,Quintez Cephus
Tight Ends,T.J. Hockenson,Jesse James,,,
