,0,1,2,3,4,5
Quarterbacks,Jimmy Garoppolo,Nick Mullens,C.J. Beathard,,,
Running Backs,Raheem Mostert,Jerick McKinnon,Kyle Juszczyk,JaMycal Hasty,Tevin Coleman,Jeff Wilson Jr.
Wide Receivers,Deebo Samuel,Brandon Aiyuk,Kendrick Bourne,Trent Taylor,Richie James Jr.,Dante Pettis
Tight Ends,George Kittle,Ross Dwelley,Charlie Woerner,Jordan Reed,,
