,0,1,2,3,4
Quarterbacks,Ben Roethlisberger,Mason Rudolph,,,
Running Backs,James Conner,Benny Snell Jr.,Anthony McFarland Jr.,Jaylen Samuels,
Wide Receivers,Chase Claypool,JuJu Smith-Schuster,James Washington,Ray-Ray McCloud,Diontae Johnson
Tight Ends,Eric Ebron,Vance McDonald,,,
