,0,1,2,3,4,5
Quarterbacks,Kyler Murray,,,,,
Running Backs,Kenyan Drake,Chase Edmonds,Eno Benjamin,,,
Wide Receivers,DeAndre Hopkins,Christian Kirk,Andy Isabella,Larry Fitzgerald,KeeSean Johnson,Trent Sherfield
Tight Ends,Dan Arnold,Darrell Daniels,Jordan Thomas,,,
