,0,1,2,3,4,5
Quarterbacks,Drew Lock,Brett Rypien,Jeff Driskel,,,
Running Backs,Phillip Lindsay,Royce Freeman,Melvin Gordon III,,,
Wide Receivers,Jerry Jeudy,Tim Patrick,DaeSean Hamilton,Diontae Spencer,Tyrie Cleveland,KJ Hamler
Tight Ends,Jake Butt,Nick Vannett,Albert Okwuegbunam,Andrew Beck,Noah Fant,
