,0,1,2,3,4,5
Quarterbacks,Patrick Mahomes II,,,,,
Running Backs,Clyde Edwards-Helaire,Darrel Williams,Darwin Thompson,DeAndre Washington,Anthony Sherman,Le'Veon Bell
Wide Receivers,Tyreek Hill,Mecole Hardman,Demarcus Robinson,Byron Pringle,Sammy Watkins,
Tight Ends,Travis Kelce,Nick Keizer,Deon Yelder,,,
