,0,1,2,3,4,5,6
Quarterbacks,Joe Burrow,,,,,,
Running Backs,Joe Mixon,Giovani Bernard,Samaje Perine,Trayveon Williams,,,
Wide Receivers,Tyler Boyd,Tee Higgins,A.J. Green,Mike Thomas,John Ross,Alex Erickson,Auden Tate
Tight Ends,Drew Sample,Cethan Carter,Mason Schreck,,,,
