,0,1,2,3,4
Quarterbacks,Deshaun Watson,,,,
Running Backs,David Johnson,Duke Johnson Jr.,C.J. Prosise,,
Wide Receivers,Will Fuller V,Brandin Cooks,Randall Cobb,Kenny Stills,DeAndre Carter
Tight Ends,Darren Fells,Pharaoh Brown,Jordan Akins,,
