,0,1,2,3,4,5,6
Quarterbacks,Tom Brady,Blaine Gabbert,,,,,
Running Backs,Ronald Jones II,Ke'Shawn Vaughn,LeSean McCoy,Leonard Fournette,,,
Wide Receivers,Mike Evans,Chris Godwin,Scotty Miller,Tyler Johnson,Justin Watson,Jaydon Mickens,Cyril Grayson Jr.
Tight Ends,Rob Gronkowski,Cameron Brate,Tanner Hudson,,,,
