,0,1,2,3,4,5
Quarterbacks,Baker Mayfield,Case Keenum,,,,
Running Backs,Kareem Hunt,D'Ernest Johnson,Dontrell Hilliard,Andy Janovich,Nick Chubb,John Kelly
Wide Receivers,Odell Beckham Jr.,Jarvis Landry,Rashard Higgins,Donovan Peoples-Jones,Taywan Taylor,
Tight Ends,Austin Hooper,David Njoku,Harrison Bryant,Stephen Carlson,,
