,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Touches Rel to Self,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Touches Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Mean,1.0,0.7768417144307942,0.7186284138653662,0.9110154796308289,0.14096243258751578,0.13032456453972024,0.7245924991133924,0.7871246509646758,0.19082388734118724,-0.003026430090321525,0.445865683491207,0.9999999999999994,0.7186284138653662,0.1908238873411872,-0.9628793997895879,0.6973874735042815,-0.32858439200961215
Median,0.7768417144307942,1.0,0.24411510017812416,0.5214250744784354,0.5567462635819519,0.04680096306736189,0.8972545545895888,0.6659068807357739,0.37092908477948416,-0.004032584496929613,0.6034507682065776,0.7768417144307944,0.24411510017812418,0.3709290847794842,-0.7813881954193083,0.2858602466025806,-0.6132870105087113
STD,0.7186284138653662,0.24411510017812416,1.0,0.9414428477916168,-0.5871511196384491,0.08615019787858186,-0.03533677857604243,0.202950610700095,-0.16231687963505104,-0.0028105547977791455,-0.01710437006346368,0.7186284138653662,0.9999999999999999,-0.16231687963505087,-0.6595472735340613,0.9243158277764516,0.3276891152068702
+1SD,0.9110154796308289,0.5214250744784354,0.9414428477916168,1.0,-0.27983564046893233,0.11407052369266117,0.32291956567583907,0.5083700270436118,-0.0037307970562671057,-0.0031340836747820074,0.20604185509813674,0.911015479630829,0.9414428477916172,-0.0037307970562670445,-0.8579815853154724,0.8862627727110911,0.0350020314957259
-1SD,0.14096243258751578,0.5567462635819519,-0.5871511196384491,-0.27983564046893233,1.0,0.028268448651451936,0.664238052890854,0.43794771997708065,0.4532159079062707,0.0004783828235612509,0.5433633274217028,0.14096243258751578,-0.5871511196384492,0.45321590790627075,-0.18186430382556612,-0.5041271380840386,-0.8490129399318748
L5 Rel to Self,0.13032456453972024,0.04680096306736189,0.08615019787858186,0.11407052369266117,0.028268448651451936,1.0,-0.17307605574886317,-0.06833183488903247,-0.080383937703923,-0.10575011274722412,0.24881710287264433,0.13032456453972022,0.08615019787858187,-0.08038393770392299,-0.12027966821673129,0.04157971093981264,-0.09767918830270203
.30,0.7245924991133924,0.8972545545895888,-0.03533677857604243,0.32291956567583907,0.664238052890854,-0.17307605574886317,1.0,0.5376223392759001,0.023427652456402555,0.014324946692765064,0.22585009127739947,0.7245924991133922,-0.035336778576042414,0.023427652456402544,-0.65324778835428,-0.04410848702117665,-0.7008389741818869
.70,0.7871246509646758,0.6659068807357739,0.202950610700095,0.5083700270436118,0.43794771997708065,-0.06833183488903247,0.5376223392759001,1.0,-0.13052607239664563,0.13352548096136535,0.16761949766955148,0.7871246509646757,0.20295061070009496,-0.1305260723966456,-0.7788669289495339,0.2477165110542752,-0.4851068835136596
L5 Touches,0.19082388734118724,0.37092908477948416,-0.16231687963505104,-0.0037307970562671057,0.4532159079062707,-0.080383937703923,0.023427652456402555,-0.13052607239664563,1.0,0.3768220990740614,0.8501656490709378,0.19082388734118716,-0.16231687963505095,1.0,-0.2327319726954269,-0.10764160933537174,-0.4212611964234849
L5 Touches Rel to Self,-0.003026430090321525,-0.004032584496929613,-0.0028105547977791455,-0.0031340836747820074,0.0004783828235612509,-0.10575011274722412,0.014324946692765064,0.13352548096136535,0.3768220990740614,1.0,0.24858114108212642,-0.0030264300903214665,-0.002810554797779151,0.37682209907406145,-0.04418336052513181,-0.0052143393622171305,-0.06113674871873552
L5 Avg FP/G,0.445865683491207,0.6034507682065776,-0.01710437006346368,0.20604185509813674,0.5433633274217028,0.24881710287264433,0.22585009127739947,0.16761949766955148,0.8501656490709378,0.24858114108212642,1.0,0.44586568349120703,-0.017104370063463655,0.850165649070938,-0.49031726778686446,0.0402194352776797,-0.5570607163433728
Mean Rel to Peers,0.9999999999999994,0.7768417144307944,0.7186284138653662,0.911015479630829,0.14096243258751578,0.13032456453972022,0.7245924991133922,0.7871246509646757,0.19082388734118716,-0.0030264300903214665,0.44586568349120703,1.0,0.7186284138653662,0.19082388734118716,-0.9628793997895876,0.6973874735042812,-0.3285843920096121
SD Rel to Peers,0.7186284138653662,0.24411510017812418,0.9999999999999999,0.9414428477916172,-0.5871511196384492,0.08615019787858187,-0.035336778576042414,0.20295061070009496,-0.16231687963505095,-0.002810554797779151,-0.017104370063463655,0.7186284138653662,1.0,-0.16231687963505087,-0.6595472735340614,0.9243158277764516,0.32768911520687033
Touches Rel to Peers,0.1908238873411872,0.3709290847794842,-0.16231687963505087,-0.0037307970562670445,0.45321590790627075,-0.08038393770392299,0.023427652456402544,-0.1305260723966456,1.0,0.37682209907406145,0.850165649070938,0.19082388734118716,-0.16231687963505087,1.0,-0.23273197269542695,-0.10764160933537177,-0.4212611964234849
Mean Rel to Peers RK,-0.9628793997895879,-0.7813881954193083,-0.6595472735340613,-0.8579815853154724,-0.18186430382556612,-0.12027966821673129,-0.65324778835428,-0.7788669289495339,-0.2327319726954269,-0.04418336052513181,-0.49031726778686446,-0.9628793997895876,-0.6595472735340614,-0.23273197269542695,1.0,-0.67357848144365,0.40399351390607124
STD Rel to Peers RK,0.6973874735042815,0.2858602466025806,0.9243158277764516,0.8862627727110911,-0.5041271380840386,0.04157971093981264,-0.04410848702117665,0.2477165110542752,-0.10764160933537174,-0.0052143393622171305,0.0402194352776797,0.6973874735042812,0.9243158277764516,-0.10764160933537177,-0.67357848144365,1.0,0.40399351390607124
Avg Rank Rel to Peers,-0.32858439200961215,-0.6132870105087113,0.3276891152068702,0.0350020314957259,-0.8490129399318748,-0.09767918830270203,-0.7008389741818869,-0.4851068835136596,-0.4212611964234849,-0.06113674871873552,-0.5570607163433728,-0.3285843920096121,0.32768911520687033,-0.4212611964234849,0.40399351390607124,0.40399351390607124,1.0
