,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Touches Rel to Self,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Touches Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Malcolm Brown,0.8352074936557695,0.44000000000000006,1.4080811099194597,2.243288603575229,-0.5728736162636902,-0.3357088777227067,,,9.2,0.6698195029130882,3.3800000000000003,0.2962285291517313,1.5633029556038998,6.562870920546717,15.0,65.0,40.0
Chase Edmonds,0.6444895962913205,0.45333333333333337,0.6325402631182356,1.2770298594095562,0.011949333173084886,0.585574253837392,,,7.4,0.330067000359633,8.080000000000002,-0.37359759139997323,0.04413402617598184,4.762870920546718,47.0,55.0,51.0
Mark Ingram,0.8163949357423622,0.5946428571428573,0.448546872606349,1.2649418083487112,0.3678480631360132,-0.18369946771998055,0.5093846153846154,1.067777777777778,8.6,-1.208269727447367,6.82,0.23015637305663786,-0.31628160278623785,5.962870920546718,18.0,41.0,29.5
Nyheim Hines,0.6703002206127207,0.5633333333333335,0.4100142286949222,1.0803144493076429,0.26028599191779844,-0.4830510321573853,0.45818181818181813,0.6561538461538463,6.8,-0.073271794646161,3.0799999999999996,-0.2829473137011607,-0.3917613091619782,4.162870920546718,45.0,31.0,38.0
Frank Gore,0.4397762396406698,0.39375000000000004,0.21863778294268366,0.6584140225833535,0.22113845669798615,-0.4155167830068707,0.30000000000000004,0.4993333333333333,15.0,0.5489097676886893,5.220000000000001,-1.0925775896347025,-0.7666392429423828,12.362870920546719,68.0,2.0,35.0
Gus Edwards,0.6232848422265478,0.537912087912088,0.3749343960745027,0.9982192383010504,0.2483504461520451,-0.009480814600116448,0.42305555555555563,0.6799999999999999,8.8,-0.17716237801162743,5.220000000000001,-0.4480714522632659,-0.4604774728383092,6.162870920546719,50.0,26.0,38.0
Leonard Fournette,0.5493434442988085,0.46303763440860224,0.2543627198420732,0.8037061641408818,0.29498072445673534,0.186919862390212,0.4083850931677019,0.6146376811594203,13.8,-1.0186585363500458,9.1,-0.707763281958006,-0.6966594161322602,11.16287092054672,63.0,6.0,34.5
Devonta Freeman,0.553752738185304,0.4928571428571429,0.2451326299177213,0.7988853681030254,0.3086201082675827,-0.552146931474623,0.41500000000000004,0.67175,15.6,-0.09630407569891841,7.1,-0.6922772669632007,-0.7147397866075693,12.962870920546717,62.0,5.0,33.5
Brian Hill,0.7433160800552104,0.5,0.6494677694511164,1.3927838495063267,0.09384831060409404,-0.14624705210875952,,,8.2,0.5701167709602308,5.5200000000000005,-0.026506095834482317,0.0772924881443917,5.562870920546717,27.0,56.0,41.5
Jamaal Williams,0.6377155916999667,0.5285714285714286,0.42239991700977997,1.0601155087097467,0.21531567469018675,-0.12791320402567866,0.3947727272727273,0.7481249999999999,9.2,-0.027963321662181212,5.220000000000001,-0.39738877869140643,-0.36749959176163993,6.562870920546717,48.0,33.0,40.5
J.D. McKissic,0.8039803004535148,0.5875,0.9966313786780259,1.8006116791315407,-0.1926510782245111,-0.17986397184189404,,,9.2,1.0742147293613216,5.68,0.18655455535359167,0.7573342560807645,6.562870920546717,19.0,63.0,41.0
Sony Michel,0.5804396418357353,0.46496212121212127,0.29655054980447415,0.8769901916402094,0.2838890920312611,0.549985821338186,0.3712299465240642,0.7311111111111112,13.6,-0.3578919605818673,9.82,-0.5985493820151695,-0.6140197450650128,10.962870920546717,57.0,10.0,33.5
Giovani Bernard,0.5858270781398685,0.4690909090909091,0.38707388846031276,0.9729009666001812,0.1987531896795557,0.7599916466343961,0.4,0.7616666666666666,4.6,-0.3378410053460561,3.8200000000000003,-0.5796280033234725,-0.43669801656903,1.9628709205467176,55.0,28.0,41.5
Matt Breida,0.6291012362841407,0.50375,0.401848923878748,1.0309501601628888,0.22725231240539273,-0.42785872849407663,0.4,0.77375,7.0,-0.8833330274330773,3.4400000000000004,-0.427643518015687,-0.4077559243098498,4.362870920546718,49.0,29.0,39.0
Jordan Howard,0.6679012679249714,0.5916083916083916,0.43373428993799373,1.101635557862965,0.23416697798697766,0.6884369970327137,0.43653846153846154,0.8051748251748252,7.8,-1.1097277031872455,6.68,-0.2913727483060291,-0.34529724451183147,5.162870920546718,46.0,38.0,42.0
Chris Thompson,0.6915721620087429,0.5591666666666667,0.42779150249995623,1.119363664508699,0.2637806595087867,0.21739390805850578,0.43533333333333335,0.7435714285714287,4.4,-0.8414659630178967,3.7599999999999993,-0.20823748217091426,-0.3569382793680846,1.7628709205467183,40.0,37.0,38.5
James White,0.9307042395652594,0.845959595959596,0.49653653978310885,1.4272407793483683,0.43416769978215053,-0.18161891989024886,0.5930000000000001,1.2098538011695905,8.4,-0.43224767616846477,6.200000000000001,0.63162555125517,-0.22227699734318476,5.762870920546718,9.0,45.0,27.0
Peyton Barber,0.5821560021478993,0.4163461538461539,0.6007230263709085,1.1828790285188078,-0.018567024223009154,-0.45533222327092976,0.2976410256410256,0.645625,5.8,-1.007484765970529,3.4200000000000004,-0.5925213008269168,-0.01819119845423081,3.162870920546718,56.0,54.0,55.0
Jalen Richard,0.8004724702380953,0.61875,0.7392081943801148,1.53968066461821,0.061264275857980555,0.9418107127618977,0.5177777777777778,0.8116666666666666,3.0,-0.8502201864706774,3.38,0.17423459830069662,0.25308060533783117,0.362870920546718,20.0,58.0,39.0
Devontae Booker,0.6961952769452769,0.65,0.40943770342842134,1.1056329803736982,0.2867575735168556,0.05261561920758599,,,4.8,0.09118979084063945,3.4400000000000004,-0.19200049977127268,-0.39289063623161063,2.162870920546718,37.0,30.0,33.5
Dion Lewis,0.5291508733904509,0.4575,0.37044680272122904,0.89959767611168,0.15870407066922182,0.17968413233660868,0.3093636363636364,0.6699999999999999,4.4,-0.4889714694267167,3.1,-0.7786822236117308,-0.46926799936998,1.7628709205467183,66.0,25.0,45.5
Kyle Juszczyk,1.4399835796387521,0.8,1.4725211046062567,2.912504684245009,-0.032537524967504616,-0.07469066439503508,,,1.4,-0.5580870553844015,2.1,2.4202809913195398,1.6895313008218962,-1.237129079453282,2.0,66.0,34.0
T.J. Yeldon,0.7309570205253317,0.6363636363636365,0.42590231827171593,1.1568593387970476,0.3050547022536158,0.13960864637369977,,,5.4,-0.6377232051874382,4.4399999999999995,-0.06991272422629351,-0.36063890970025264,2.7628709205467183,28.0,36.0,32.0
Carlos Hyde,0.5061034069729649,0.47375000000000006,0.31744138361742447,0.8235447905903893,0.1886620233555404,0.3198433440055819,0.351,0.6177884615384616,8.2,-0.7726295500625522,5.0600000000000005,-0.8596279305029397,-0.573097715272028,5.562870920546717,67.0,15.0,41.0
Phillip Lindsay,0.6931425726039844,0.5700000000000001,0.37493780464409165,1.068080377248076,0.3182047679598927,-0.5280214834407537,0.4406315789473685,0.8115686274509804,15.4,-0.046833708228316576,7.9799999999999995,-0.20272199541681193,-0.46047079595851015,12.762870920546717,39.0,27.0,33.0
Tarik Cohen,0.7814151213369964,0.6348214285714286,0.5186275770511762,1.3000426983881725,0.2627875442858202,-0.37118955286871946,0.49069230769230776,0.9490000000000001,7.6,-0.5259620712428801,4.24,0.10730270434199751,-0.17900394786435594,4.962870920546718,23.0,49.0,36.0
Jordan Wilkins,0.7741370889646751,0.5333333333333333,1.0361388118521124,1.8102759008167877,-0.2620017228874373,-0.5146493828588448,,,6.2,0.4164037125917623,2.32,0.0817413057707567,0.8347234293358842,3.562870920546718,24.0,64.0,44.0
Le'Veon Bell,0.5670676844765044,0.49786967418546374,0.23920249563794208,0.8062701801144464,0.3278651888385623,-0.5951459447958478,0.40483870967741936,0.6531969309462915,19.0,-0.5350538594077724,7.420000000000002,-0.64551343964108,-0.7263560358126677,16.36287092054672,59.0,3.0,31.0
Royce Freeman,0.5569603075104721,0.5,0.31539323108016093,0.872353538590633,0.24156707643031117,-0.04426318048317239,0.3485964912280701,0.6579166666666667,4.6,-0.9743975040640857,2.18,-0.6810118653036369,-0.5771097408283521,1.9628709205467176,60.0,14.0,37.0
Wayne Gallman,0.6161217776584318,0.49052631578947375,0.5188173672874504,1.134939144945882,0.09730441037098136,-0.09807628970936974,,,4.2,-0.28078513560249324,1.9600000000000002,-0.4732290689171127,-0.17863217707852855,1.5628709205467182,53.0,50.0,51.5
Duke Johnson,0.7928498931623932,0.6325396825396825,0.5023300553865984,1.2951799485489914,0.2905198377757948,-0.44860921767653633,0.5383333333333333,0.9299999999999999,6.2,-0.17370644494515872,4.12,0.14746311381087407,-0.21092836376278878,3.562870920546718,22.0,46.0,34.0
Tyler Ervin,0.7277210884353742,0.5666666666666667,0.43576543179751515,1.1634865202328895,0.29195565663785905,-0.0712640781087414,,,2.2,0.8447107229192117,1.6800000000000002,-0.08127773961361742,-0.34131854033787035,-0.43712907945328183,30.0,39.0,34.5
Anthony Sherman,1.427450980392157,0.711764705882353,2.4212211274951123,3.8486721078872694,-0.9937701471029554,0.12289212919419473,,,0.6,-0.1652603476208528,1.34,2.3762648688172323,3.54789324792602,-2.037129079453282,3.0,71.0,37.0
Tevin Coleman,0.7281908678025406,0.615,0.5430463730320836,1.2712372408346242,0.18514449477045702,-0.35022951491346016,0.42433333333333334,0.8187412587412587,7.2,-0.9359567656907226,3.1000000000000005,-0.07962781322824522,-0.13117116600478,4.562870920546718,29.0,52.0,40.5
Marlon Mack,0.6774953563933344,0.7326923076923078,0.320664121157302,0.9981594775506364,0.3568312352360324,0.3410886259496819,0.4354166666666667,0.8155555555555556,12.8,-0.4789571009380858,10.620000000000001,-0.2576770587677104,-0.5667848527600452,10.16287092054672,42.0,17.0,29.5
LeSean McCoy,0.5438703012387224,0.4276923076923077,0.41634621670083455,0.960216517939557,0.12752408453788783,-0.25428428791222907,0.275,0.5383333333333334,3.2,-1.0988094051269668,1.2000000000000002,-0.726985673950701,-0.3793578884011401,0.5628709205467182,65.0,32.0,48.5
Patrick Ricard,2.253846153846154,0.7000000000000001,2.802860260702563,5.056706414548717,-0.5490141068564092,0.05214453542439938,,,0.8,0.4175823272122517,1.52,5.2786724599598935,4.295467428981581,-1.837129079453282,1.0,72.0,36.5
Corey Clement,0.7038771316402894,0.50375,0.8011611892034185,1.505038320843708,-0.09728405756312908,-0.595995224414402,,,2.6,-0.7160197309575941,0.64,-0.16502082455406225,0.37443728849483643,-0.03712907945328192,35.0,60.0,47.5
Alex Armah,1.2555555555555555,0.25,2.2500907752204187,3.505646330775974,-0.9945352196648631,-0.3524549161701567,,,1.0,0.38587181657064484,0.38,1.7725457257791621,3.212674393716008,-1.637129079453282,5.0,70.0,37.5
C.J. Ham,0.6759722222222223,0.42500000000000004,0.8558161227213607,1.531788344943583,-0.17984390049913834,-0.23483107747860862,,,1.0,-0.3165683452927334,0.42000000000000004,-0.2630265045565664,0.4814981572844945,-1.637129079453282,43.0,62.0,52.5
Andy Janovich,1.3857142857142857,0.9,1.6074936125178583,2.9932078982321437,-0.2217793268035726,-0.13108250264474672,,,1.2,0.5594020667363568,1.6199999999999999,2.2296801556515518,1.9539223270225101,-1.437129079453282,4.0,69.0,36.5
Ameer Abdullah,0.72739417989418,0.5291666666666667,0.824634368380547,1.552028548274727,-0.09724018848636706,-0.3781538052446524,,,4.4,0.6613265399118233,2.0400000000000005,-0.08242588503127006,0.42041774797401055,1.7628709205467183,31.0,61.0,46.0
Michael Burton,0.34375000000000006,0.275,0.3200864838490641,0.6638364838490641,0.02366351615093598,-0.37099348454837056,,,0.8,0.698696439054895,0.18000000000000002,-1.4298342627552398,-0.5679163581536977,-1.837129079453282,70.0,16.0,43.0
Senorise Perry,0.31625000000000003,0.35750000000000004,0.16499368674790763,0.48124368674790763,0.1512563132520924,-0.2500095658994851,,,1.2,0.5542115167760021,0.26,-1.5264178480910833,-0.8717200320748651,-1.437129079453282,72.0,1.0,36.5
Theo Riddick,0.6706818745490621,0.5700000000000001,0.3290278500652778,0.9997097246143399,0.34165402448378435,-0.5421916723096685,0.5042857142857142,0.7949206349206349,6.6,-0.37507850585907404,3.1200000000000006,-0.2816068953182735,-0.5504015543901896,3.9628709205467176,44.0,18.0,31.0
Jaylen Samuels,0.619435574229692,0.5111111111111112,0.4403970506873264,1.0598326249170182,0.1790385235423656,-0.1317152390339334,,,2.4,-0.6262950640269334,1.26,-0.461590583319806,-0.3322458892462173,-0.2371290794532821,51.0,40.0,45.5
Keith Smith,0.3392857142857143,0.25,0.3563590299708403,0.6956447442565545,-0.01707331568512599,-0.2505498858637601,,,1.2,0.8908491481302597,0.28,-1.4455134162188508,-0.49686384649460896,-1.437129079453282,71.0,24.0,47.5
Bruce Miller,1.1992063492063492,0.7333333333333334,1.5344061119541057,2.7336124611604546,-0.33519976274775654,-0.683786607099836,,,0.6,-0.4960500041603386,0.08,1.5746399665051396,1.8107548066475885,-2.037129079453282,6.0,67.0,36.5
Elijhaa Penny,0.5548015873015874,0.4000000000000001,0.6835249682894783,1.2383265555910656,-0.12872338098789093,-0.7141435108895564,,,0.8,-0.45197742391768436,0.06000000000000001,-0.6885935721222197,0.14400546465876593,-1.837129079453282,61.0,57.0,59.0
Samaje Perine,0.38006031492873604,0.37,0.2444650242917837,0.6245253392205198,0.13559529063695233,-0.9001709572412323,,,1.2,-0.7376082905353188,0.32,-1.3023077027373882,-0.716047526526387,-1.437129079453282,69.0,4.0,36.5
