,0
401223849,71.8529411764706
401219793,70.1554054054054
401219794,71.00990099009901
401219795,68.26225490196079
401219796,71.31596091205212
401219797,69.20945945945945
401219799,70.89444444444445
401219800,70.99472295514512
401219801,69.58796296296296
401219802,69.9609375
401056500,69.12121212121212
401056501,70.7394366197183
401056502,72.64473684210526
401056503,71.20954907161804
401056504,69.24365482233503
401056505,69.14698162729658
401056506,69.28899082568807
401056507,70.92424242424242
401056510,68.71014492753623
401056511,69.38846153846156
401056512,71.0704845814978
401056513,70.45363408521304
401056514,71.41995841995842
401056515,71.14252336448598
401056516,70.66917293233082
401056517,71.3810975609756
401219333,73.83333333333333
401056520,70.88782816229117
401056521,72.32978723404256
401056522,71.45011600928075
401056523,71.95011876484561
401243401,70.82511210762331
401056525,70.66666666666667
401056526,71.10243902439025
401056527,71.69014084507042
401056528,71.17543859649123
401056542,70.03333333333333
401056543,69.92753623188406
401056544,70.24570024570025
401056545,68.08425720620842
401056546,69.21613832853026
401056547,71.8695652173913
401056548,69.33944954128441
401056549,69.56590909090909
401056550,71.66891891891892
401056551,69.52073732718894
401056552,72.16312056737588
401056553,70.7566844919786
401056554,72.02432432432433
401056555,69.22222222222223
401056556,71.78378378378379
401056557,70.10222222222222
401056558,69.36563876651982
401056559,69.41101694915254
401148233,68.9953596287703
401148234,70.89252336448598
401148235,71.20197044334975
401148236,68.82464454976304
401148237,71.96821515892421
401148238,70.70289855072464
401148239,69.45517241379311
401148240,69.39506172839506
401148241,71.29591836734694
401148242,70.00722891566265
401148243,69.32879818594104
401148244,69.79166666666667
401155413,72.2279411764706
401155418,70.39950372208436
401155419,69.65399239543726
401155420,71.78414096916299
401155421,70.29262086513995
401155422,71.7337164750958
401155423,71.20698924731182
401155424,70.46785714285714
401155425,70.39193083573487
401155426,71.87290167865707
401155427,74.04021447721179
401242996,69.31547619047619
401242997,67.87621359223301
401242998,72.24276169265033
401242999,69.44270833333333
401243000,71.61716937354988
401243001,71.22131147540983
401243002,71.35510204081632
401243003,70.9
401243004,72.92913385826772
401243005,72.42093541202672
401243006,71.01711491442543
401243008,72.35072463768115
401155459,69.43333333333334
401155460,70.05111111111111
401155461,74.00738916256158
401155466,68.61936936936937
401155467,69.51298701298701
401155472,69.92027334851936
401155473,68.77922077922078
401155474,69.39425587467363
401155475,71.81521739130434
401155476,68.91666666666667
401219478,71.72333333333333
401219480,70.92820512820512
401219481,70.40867579908675
401219498,69.13747228381375
401077167,69.47222222222223
401056252,70.98584905660377
