"player","tournament id","Player_initial_last","player id","DK_Hole_FP","DK_Streak_Bonus_FP","FD_Hole_FP","FD_Streak_Bonus_FP","tournament name","season","final position","DK_Finish_FP","FD_Finish_FP","DK_Total_FP","FD_Total_FP","major","made_cut","course","SD_Hole_FP","SD_Streak_Bonus_FP","SD_Finish_FP","SD_Total_FP","date","Finish","Score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","place"
"Abraham Ancer",401155475,"A. Ancer",9261,43,0,34.9,20,"BMW Championship",2020,33,2,1,45,55.9,0,1,"Olympia Fields Country Club - Olympia Fields, IL",50,0,0,50,2020-08-30,"T33","7",0.86,-1.03,0.09,0.15,-0.79,0.07,"33"
"Abraham Ancer",401155476,"A. Ancer",9261,68,6,62,10.5,"Tour Championship",2020,18,5,4,79,76.5,0,1,"East Lake - Atlanta, GA",64,7,2,73,2020-09-07,"T18","-4",0.12,-0.07,-0.12,-0.01,-0.2,-0.08,NA
"Abraham Ancer",401219333,"A. Ancer",9261,29,0,13.9,20.6,"U.S. Open",2021,56,0,0,29,34.5,1,1,"Winged Foot GC - Mamaroneck, NY",22,0,0,22,2020-09-20,"T56","21",-1.35,0.35,0.52,-0.71,0.16,-1.18,"56"
"Abraham Ancer",401219478,"A. Ancer",9261,71,3,67.8,15.4,"Masters Tournament",2021,13,6,5,80,88.2,1,1,"Augusta National - Augusta, GA",70,6,3,79,2020-11-15,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"Abraham Ancer",401219481,"A. Ancer",9261,56.5,0,49.3,19.6,"PGA Championship",2020,43,1,0,57.5,68.9,1,1,"TPC Harding Park - San Francisco, CA",61,3,0,64,2020-08-09,"T43","E",0.24,-0.66,0.24,0.71,0.28,0.53,"43"
"Abraham Ancer",401219498,"A. Ancer",9261,91.5,14,92.8,21.8,"RBC Heritage",2020,2,20,20,125.5,134.6,0,1,"Harbour Town - Hilton Head, SC",91,17,13,121,2020-06-21,"2","-21",-0.22,-0.37,2.96,0.83,3.41,3.19,"2"
"Abraham Ancer",401219795,"A. Ancer",9261,99.5,5,96.5,34.6,"Shriners Hospital for Children Open",2021,4,16,16,120.5,147.1,0,1,"TPC Summerlin - Las Vegas, NV",87,12,10,109,2020-10-11,"4","-20",2.08,-0.03,-0.15,0.59,0.41,2.49,NA
"Abraham Ancer",401219796,"A. Ancer",9261,68.5,6,62.8,27.6,"The CJ Cup @ Shadow Creek",2021,28,3,2,77.5,92.4,0,1,"Shadow Creek GC - Las Vegas, NV",65,3,0,68,2020-10-18,"T28","-5",0.1,0.93,-0.61,0.16,0.48,0.58,"28"
"Abraham Ancer",401219797,"A. Ancer",9261,73.5,15,72.7,16.5,"The ZOZO Championship",2021,35,2,1,90.5,90.2,0,1,"Sherwood CC - Thousand Oaks, CA",79,21,0,100,2020-10-25,"T35","-12",-0.22,-0.2,-0.04,0.71,0.48,0.26,"35"
"Abraham Ancer",401219802,"A. Ancer",9261,76,15,75.2,17.5,"Mayakoba Golf Classic",2021,12,6,5,97,97.7,0,1,"El Camaleon - Playa del Carmen, Mexico",84,18,3,105,2020-12-06,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"Abraham Ancer",401242996,"A. Ancer",9261,87,9,84.8,40.9,"Sentry Tournament of Champions",2021,17,5,4,101,129.7,0,1,"Kapalua Resort, Kapalua, Maui, HI",82,13,2,97,2021-01-10,"T17","-16",1.67,-0.83,0.24,-0.76,-1.35,0.32,"17"
"Abraham Ancer",401242997,"A. Ancer",9261,33,0,31.3,0,"Sony Open in Hawaii",2021,NA,0,0,33,31.3,0,0,"Waialae CC - Honolulu, HI",NA,NA,NA,NA,2021-01-17,"CUT","-3",-1.4,-0.77,0.84,1.27,1.33,-0.06,"-"
"Abraham Ancer",401243001,"A. Ancer",9261,25.5,0,21.1,10.6,"The Genesis Invitational",2021,NA,0,0,25.5,31.7,0,0,"Riviera - Pacific Palisades, CA",NA,NA,NA,NA,2021-02-21,"CUT","2",-0.48,-1.33,0.74,0.13,-0.46,-0.94,"-"
