,schedule_season,team_home,team_away,team_favorite_id,spread_favorite,score_home,score_away,Favourite_Win,Favourtie_Cover,H_or_W_Win
12065,2017,OAK,NYG,OAK,9.0,24.0,17.0,favew,not_covered,homew
12066,2017,SEA,PHI,PHI,5.5,24.0,10.0,favel,not_covered,homew
12067,2017,TEN,HOU,TEN,6.5,24.0,13.0,favew,covered,homew
12068,2017,CIN,PIT,PIT,4.5,20.0,23.0,favew,not_covered,awayw
12069,2017,ATL,NO,ATL,2.5,20.0,17.0,favew,covered,homew
12070,2017,ARI,TEN,TEN,2.5,12.0,7.0,favel,not_covered,homew
12071,2017,BUF,IND,BUF,3.5,13.0,7.0,favew,covered,homew
12072,2017,CAR,MIN,MIN,2.5,31.0,24.0,favel,not_covered,homew
12073,2017,CIN,CHI,CIN,6.0,7.0,33.0,favel,not_covered,awayw
12074,2017,CLE,GB,GB,2.5,21.0,27.0,favew,covered,awayw
12075,2017,DEN,NYJ,NYJ,1.0,23.0,0.0,favel,not_covered,homew
12076,2017,HOU,SF,HOU,1.0,16.0,26.0,favel,not_covered,awayw
12077,2017,JAX,SEA,JAX,3.0,30.0,24.0,favew,covered,homew
12078,2017,KC,OAK,KC,4.5,26.0,15.0,favew,covered,homew
12079,2017,LAC,WAS,LAC,6.0,30.0,13.0,favew,covered,homew
12080,2017,LAR,PHI,LAR,1.0,35.0,43.0,favel,not_covered,awayw
12081,2017,NYG,DAL,DAL,4.0,10.0,30.0,favew,covered,awayw
12082,2017,PIT,BAL,PIT,6.0,39.0,38.0,favew,not_covered,homew
12083,2017,TB,DET,PICK,0.0,21.0,24.0,WASH,PUSH,awayw
12084,2017,MIA,NE,NE,10.5,27.0,20.0,favel,not_covered,homew
12085,2017,IND,DEN,DEN,3.0,13.0,25.0,favew,covered,awayw
12086,2017,DET,CHI,DET,5.0,20.0,10.0,favew,covered,homew
12087,2017,KC,LAC,LAC,1.0,30.0,13.0,favel,not_covered,homew
12088,2017,BUF,MIA,BUF,3.5,24.0,16.0,favew,covered,homew
12089,2017,CAR,GB,CAR,3.0,31.0,24.0,favew,covered,homew
12090,2017,CLE,BAL,BAL,6.5,10.0,27.0,favew,covered,awayw
12091,2017,JAX,HOU,JAX,10.5,45.0,7.0,favew,covered,homew
12092,2017,MIN,CIN,MIN,12.5,34.0,7.0,favew,covered,homew
12093,2017,NO,NYJ,NO,16.5,31.0,19.0,favew,not_covered,homew
12094,2017,NYG,PHI,PHI,7.5,29.0,34.0,favew,not_covered,awayw
12095,2017,OAK,DAL,DAL,3.0,17.0,20.0,favew,PUSH,awayw
12096,2017,PIT,NE,NE,2.5,24.0,27.0,favew,covered,awayw
12097,2017,SF,TEN,SF,2.5,25.0,23.0,favew,not_covered,homew
12098,2017,SEA,LAR,LAR,1.0,7.0,42.0,favew,covered,awayw
12099,2017,WAS,ARI,WAS,4.0,20.0,15.0,favew,covered,homew
12100,2017,TB,ATL,ATL,7.0,21.0,24.0,favew,not_covered,awayw
12101,2017,BAL,IND,BAL,13.5,23.0,16.0,favew,not_covered,homew
12102,2017,GB,MIN,MIN,8.5,0.0,16.0,favew,covered,awayw
12103,2017,ARI,NYG,ARI,3.0,23.0,0.0,favew,covered,homew
12104,2017,CAR,TB,CAR,10.0,22.0,19.0,favew,not_covered,homew
12105,2017,CHI,CLE,CHI,5.5,20.0,3.0,favew,covered,homew
12106,2017,CIN,DET,DET,3.5,26.0,17.0,favel,not_covered,homew
12107,2017,DAL,SEA,DAL,4.5,12.0,21.0,favel,not_covered,awayw
12108,2017,KC,MIA,KC,11.0,29.0,13.0,favew,covered,homew
12109,2017,NE,BUF,NE,11.0,37.0,16.0,favew,covered,homew
12110,2017,NO,ATL,NO,5.5,23.0,13.0,favew,covered,homew
12111,2017,NYJ,LAC,LAC,7.5,7.0,14.0,favew,not_covered,awayw
12112,2017,SF,JAX,JAX,4.0,44.0,33.0,favel,not_covered,homew
12113,2017,TEN,LAR,LAR,5.5,23.0,27.0,favew,not_covered,awayw
12114,2017,WAS,DEN,WAS,3.0,27.0,11.0,favew,covered,homew
12115,2017,HOU,PIT,PIT,8.0,6.0,34.0,favew,covered,awayw
12116,2017,PHI,OAK,PHI,10.0,19.0,10.0,favew,not_covered,homew
12117,2017,ATL,CAR,ATL,5.0,22.0,10.0,favew,covered,homew
12118,2017,BAL,CIN,BAL,8.0,27.0,31.0,favel,not_covered,awayw
12119,2017,DEN,KC,DEN,3.0,24.0,27.0,favel,not_covered,awayw
12120,2017,DET,GB,DET,7.5,35.0,11.0,favew,covered,homew
12121,2017,IND,HOU,IND,5.5,22.0,13.0,favew,covered,homew
12122,2017,LAC,OAK,LAC,7.0,30.0,10.0,favew,covered,homew
12123,2017,LAR,SF,SF,6.0,13.0,34.0,favew,covered,awayw
12124,2017,MIA,BUF,BUF,2.5,16.0,22.0,favew,covered,awayw
12125,2017,MIN,CHI,MIN,13.5,23.0,10.0,favew,not_covered,homew
12126,2017,NE,NYJ,NE,17.0,26.0,6.0,favew,covered,homew
12127,2017,NYG,WAS,WAS,4.5,18.0,10.0,favel,not_covered,homew
12128,2017,PHI,DAL,DAL,3.5,0.0,6.0,favew,covered,awayw
12129,2017,PIT,CLE,PIT,5.0,28.0,24.0,favew,not_covered,homew
12130,2017,SEA,ARI,SEA,8.0,24.0,26.0,favel,not_covered,awayw
12131,2017,TB,NO,NO,6.0,31.0,24.0,favel,not_covered,homew
12132,2017,TEN,JAX,TEN,2.5,15.0,10.0,favew,covered,homew
12133,2017,KC,TEN,KC,8.5,21.0,22.0,favel,not_covered,awayw
12134,2017,LAR,ATL,LAR,6.5,13.0,26.0,favel,not_covered,awayw
12135,2017,JAX,BUF,JAX,8.0,10.0,3.0,favew,not_covered,homew
12136,2017,NO,CAR,NO,6.5,31.0,26.0,favew,not_covered,homew
12137,2017,NE,TEN,NE,13.5,35.0,14.0,favew,covered,homew
12138,2017,PHI,ATL,ATL,2.5,15.0,10.0,favel,not_covered,homew
12139,2017,MIN,NO,MIN,5.5,29.0,24.0,favew,not_covered,homew
12140,2017,PIT,JAX,PIT,7.0,42.0,45.0,favel,not_covered,awayw
12141,2017,NE,JAX,NE,7.5,24.0,20.0,favew,not_covered,homew
12142,2017,PHI,MIN,MIN,3.0,38.0,7.0,favel,not_covered,homew
12143,2017,NE,PHI,NE,4.5,33.0,41.0,favel,not_covered,awayw
12144,2018,PHI,ATL,PHI,1.0,18.0,12.0,favew,covered,homew
12145,2018,ARI,WAS,ARI,2.0,6.0,24.0,favel,not_covered,awayw
12146,2018,BAL,BUF,BAL,7.5,47.0,3.0,favew,covered,homew
12147,2018,CAR,DAL,CAR,2.5,16.0,8.0,favew,covered,homew
12148,2018,CLE,PIT,PIT,3.5,21.0,21.0,favel,not_covered,tie
12149,2018,DEN,SEA,DEN,3.0,27.0,24.0,favew,PUSH,homew
12150,2018,GB,CHI,GB,6.5,24.0,23.0,favew,not_covered,homew
12151,2018,IND,CIN,CIN,1.0,23.0,34.0,favew,covered,awayw
12152,2018,LAC,KC,LAC,3.5,28.0,38.0,favel,not_covered,awayw
12153,2018,MIA,TEN,TEN,1.0,27.0,20.0,favel,not_covered,homew
12154,2018,MIN,SF,MIN,6.0,24.0,16.0,favew,covered,homew
12155,2018,NE,HOU,NE,6.0,27.0,20.0,favew,covered,homew
12156,2018,NO,TB,NO,10.0,40.0,48.0,favel,not_covered,awayw
12157,2018,NYG,JAX,JAX,2.5,15.0,20.0,favew,covered,awayw
12158,2018,DET,NYJ,DET,7.0,17.0,48.0,favel,not_covered,awayw
12159,2018,OAK,LAR,LAR,6.5,13.0,33.0,favew,covered,awayw
12160,2018,CIN,BAL,CIN,1.0,34.0,23.0,favew,covered,homew
12161,2018,ATL,CAR,ATL,5.5,31.0,24.0,favew,covered,homew
12162,2018,BUF,LAC,LAC,7.5,20.0,31.0,favew,covered,awayw
12163,2018,DAL,NYG,DAL,3.0,20.0,13.0,favew,covered,homew
12164,2018,DEN,OAK,DEN,5.5,20.0,19.0,favew,not_covered,homew
12165,2018,GB,MIN,MIN,2.0,29.0,29.0,favel,not_covered,tie
12166,2018,JAX,NE,NE,2.0,31.0,20.0,favel,not_covered,homew
12167,2018,LAR,ARI,LAR,13.5,34.0,0.0,favew,covered,homew
12168,2018,NO,CLE,NO,10.0,21.0,18.0,favew,not_covered,homew
12169,2018,NYJ,MIA,NYJ,3.0,12.0,20.0,favel,not_covered,awayw
12170,2018,PIT,KC,PIT,4.5,37.0,42.0,favel,not_covered,awayw
12171,2018,SF,DET,SF,6.0,30.0,27.0,favew,not_covered,homew
12172,2018,TB,PHI,PHI,3.0,27.0,21.0,favel,not_covered,homew
12173,2018,TEN,HOU,HOU,3.5,20.0,17.0,favel,not_covered,homew
12174,2018,WAS,IND,WAS,6.0,9.0,21.0,favel,not_covered,awayw
12175,2018,CHI,SEA,CHI,4.5,24.0,17.0,favew,covered,homew
12176,2018,CLE,NYJ,CLE,3.0,21.0,17.0,favew,covered,homew
12177,2018,ARI,CHI,CHI,5.5,14.0,16.0,favew,not_covered,awayw
12178,2018,ATL,NO,ATL,1.5,37.0,43.0,favel,not_covered,awayw
12179,2018,BAL,DEN,BAL,5.5,27.0,14.0,favew,covered,homew
12180,2018,CAR,CIN,CAR,2.5,31.0,21.0,favew,covered,homew
12181,2018,DET,NE,NE,7.0,26.0,10.0,favel,not_covered,homew
12182,2018,HOU,NYG,HOU,6.5,22.0,27.0,favel,not_covered,awayw
12183,2018,JAX,TEN,JAX,10.0,6.0,9.0,favel,not_covered,awayw
12184,2018,KC,SF,KC,5.5,38.0,27.0,favew,covered,homew
12185,2018,LAR,LAC,LAR,7.5,35.0,23.0,favew,covered,homew
12186,2018,MIA,OAK,MIA,3.0,28.0,20.0,favew,covered,homew
12187,2018,MIN,BUF,MIN,16.5,6.0,27.0,favel,not_covered,awayw
12188,2018,PHI,IND,PHI,6.5,20.0,16.0,favew,not_covered,homew
12189,2018,SEA,DAL,SEA,1.0,24.0,13.0,favew,covered,homew
12190,2018,WAS,GB,GB,2.5,31.0,17.0,favel,not_covered,homew
12191,2018,TB,PIT,PIT,1.0,27.0,30.0,favew,covered,awayw
12192,2018,LAR,MIN,LAR,7.5,38.0,31.0,favew,not_covered,homew
12193,2018,ARI,SEA,SEA,3.5,17.0,20.0,favew,not_covered,awayw
12194,2018,ATL,CIN,ATL,3.5,36.0,37.0,favel,not_covered,awayw
12195,2018,CHI,TB,CHI,3.0,48.0,10.0,favew,covered,homew
12196,2018,DAL,DET,DAL,2.5,26.0,24.0,favew,not_covered,homew
12197,2018,GB,BUF,GB,8.5,22.0,0.0,favew,covered,homew
12198,2018,IND,HOU,IND,1.0,34.0,37.0,favel,not_covered,awayw
12199,2018,JAX,NYJ,JAX,7.5,31.0,12.0,favew,covered,homew
12200,2018,LAC,SF,LAC,10.5,29.0,27.0,favew,not_covered,homew
12201,2018,NE,MIA,NE,6.5,38.0,7.0,favew,covered,homew
12202,2018,NYG,NO,NO,3.5,18.0,33.0,favew,covered,awayw
12203,2018,OAK,CLE,OAK,2.5,45.0,42.0,favew,covered,homew
12204,2018,PIT,BAL,PIT,3.0,14.0,26.0,favel,not_covered,awayw
12205,2018,TEN,PHI,PHI,3.0,26.0,23.0,favel,not_covered,homew
12206,2018,DEN,KC,KC,3.5,23.0,27.0,favew,covered,awayw
12207,2018,NE,IND,NE,10.5,38.0,24.0,favew,covered,homew
12208,2018,BUF,TEN,TEN,6.0,13.0,12.0,favel,not_covered,homew
12209,2018,CAR,NYG,CAR,7.0,33.0,31.0,favew,not_covered,homew
12210,2018,CIN,MIA,CIN,6.5,27.0,17.0,favew,covered,homew
